time,open,high,low,close,TheStrat Label 1,TheStrat Label 2,TheStrat Label 3,2-1-2 BLR,2-1-2 BLC,3-1-2 BLR,3-2-2 BLR,Rev Strat 1-2-2 BLR,2-2 BLR,2-1-2 BRR,2-1-2 BRC,3-1-2 BRR,3-2-2 BRR,Rev Strat 1-2-2 BRR,2-2 BRR,Double Inside,PMG BLR,PMG BRR,Volume,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status
1600635600,10953.6,11026,10673.4,10998,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760472,-9.164491724206286,-9.164491724206286,0.4053461875547732,0.4053461875547732,0.4053461875547732,0.4053461875547732,0.6028119025621759,0.6028119025621759
1600722000,10998,11207.4,10914.6,11169.4,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503090,-7.748851960751931,-7.748851960751931,1.9701285422144248,1.9701285422144248,1.558465175486449,1.558465175486449,1.7175433483899203,1.7175433483899203
1600808400,11169.4,11238.4,10802.8,10835.4,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528389,-10.50744986619975,-10.50744986619975,-1.0790972830850196,-1.0790972830850196,-2.990312818951779,-2.990312818951779,-3.1013575146214616,-3.1013575146214616
1600894800,10835.4,11028.2,10678,10925.4,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,790043,-9.764115101258719,-9.764115101258719,-0.25744960560912145,-0.25744960560912145,0.8306107757904645,0.8306107757904645,0.821305968771917,0.821305968771917
1600981200,10925.4,11182.6,10831,11148.8,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552708,-7.9189930291717685,-7.9189930291717685,1.7820625182588274,1.7820625182588274,2.0447763926263534,2.0447763926263534,2.3295089490591945,2.3295089490591945
1601240400,11148.8,11420.4,11148.8,11410.8,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310023,-5.755062935676774,-5.755062935676774,2.350028702640643,2.350028702640643,2.350028702640643,2.350028702640643,2.32800057392925,2.32800057392925
1601326800,11410.8,11464.4,11305.6,11335.6,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306158,-6.376160428160825,-6.376160428160825,1.6755166475315826,1.6755166475315826,-0.6590247835383927,-0.6590247835383927,-0.3586371787208544,-0.3586371787208544
1601413200,11335.6,11541.4,11183.6,11373.2,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610879,-6.065611681918791,-6.065611681918791,2.0127726750861212,2.0127726750861212,0.3316983662091143,0.3316983662091143,0.418513482491316,0.418513482491316
1601499600,11373.2,11613.4,11373.2,11587.8,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421556,1.8868919916997726,1.8868919916997726,3.937643513203215,3.937643513203215,1.8868919916997726,1.8868919916997726,1.4889032913520994,1.4889032913520994
1601586000,11587.8,11619.2,11220.8,11269.8,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879437,-0.9091548552738143,-0.9091548552738143,1.0853185993111367,1.0853185993111367,-2.74426552063377,-2.74426552063377,-2.7392294946147597,-2.7392294946147597
1601845200,11269.8,11512.6,11269.8,11485.2,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225026,0.9847712165441563,0.9847712165441563,1.9113027737848183,1.9113027737848183,1.9113027737848183,1.9113027737848183,2.010871496074195,2.010871496074195
1601931600,11485.2,11538.8,11212.4,11221.6,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461517,-1.3329581823937005,-1.3329581823937005,-0.42769170704004433,-0.42769170704004433,-2.2951276425312606,-2.2951276425312606,-2.4717538675473634,-2.4717538675473634
1602018000,11221.6,11520.6,11221.6,11489.2,1,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,234723,1.019941617135019,1.019941617135019,1.9467958615059848,1.9467958615059848,2.3846866756968734,2.3846866756968734,1.7661960353593638,1.7661960353593638
1602104400,11489.2,11592.2,11484.8,11573.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179422,1.7611578095874447,1.7611578095874447,2.694812685229558,2.694812685229558,0.7337325488284586,0.7337325488284586,0.6864092704400295,0.6864092704400295
1602190800,11573.5,11753,11567,11741.2,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108861,3.2356768543593715,3.2356768543593715,4.182860387939462,4.182860387939462,1.4489998703935778,1.4489998703935778,1.4489998703935778,1.4489998703935778
1602450000,11741.2,12211,11707.2,12104,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,186221,6.4256321879506135,6.4256321879506135,3.089973767587634,3.089973767587634,3.089973767587634,3.089973767587634,3.2218450990090504,3.2218450990090504
1602536400,12104,12262.8,12033.6,12095.2,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463482,6.348257306650722,6.348257306650722,3.01502401798794,3.01502401798794,-0.0727032385988043,-0.0727032385988043,0.03473658092796896,0.03473658092796896
1602622800,12095.2,12191.4,11916.4,11958,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347715,5.141912566384124,5.141912566384124,1.8464892855926076,1.8464892855926076,-1.1343342813678212,-1.1343342813678212,-1.0787200952979688,-1.0787200952979688
1602709200,11958,11996.7,11752,11898,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441696,4.614356557521184,4.614356557521184,1.335468265594652,1.335468265594652,-0.5017561465127948,-0.5017561465127948,-0.7755816862646986,-0.7755816862646986
1602795600,11898,12036,11806.8,11810.2,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288499,3.842366264551753,3.842366264551753,0.5876741729976492,0.5876741729976492,-0.737939149436874,-0.737939149436874,-0.794637457160125,-0.794637457160125
1603054800,11810.2,11964.4,11608.6,11709.6,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335664,2.9578306896915523,2.9578306896915523,-0.8518060659430015,-0.8518060659430015,-0.8518060659430015,-0.8518060659430015,-1.104692409040229,-1.104692409040229
1603141200,11709.6,11807.6,11614.2,11666.5,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446795,2.5788696233250032,2.5788696233250032,-1.2167448476740506,-1.2167448476740506,-0.3680740588918525,-0.3680740588918525,0.18634927177796723,0.18634927177796723
1603227600,11666.5,11794.4,11601,11702.9,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397996,2.8989202687018505,2.8989202687018505,-0.9085366886250958,-0.9085366886250958,0.3120044572065284,0.3120044572065284,0.20292485786696782,0.20292485786696782
1603314000,11702.9,11739.2,11526.8,11672.2,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350006,2.628987444166989,2.628987444166989,-1.1684814821086857,-1.1684814821086857,-0.2623281408881466,-0.2623281408881466,0.0359958861844423,0.0359958861844423
1603400400,11672.2,11706.8,11566.8,11684.8,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263314,2.7397742060281938,2.7397742060281938,-1.0617940424379049,-1.0617940424379049,0.1079488014255971,0.1079488014255971,0.13196908152946712,0.13196908152946712
1603659600,11684.8,11710.6,11359.2,11512.6,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346659,1.225688460591563,1.225688460591563,-1.473709434478972,-1.473709434478972,-1.473709434478972,-1.473709434478972,-1.5646909949040666,-1.5646909949040666
1603746000,11512.6,11638.2,11493.8,11569.2,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313384,1.7233496289522736,1.7233496289522736,-0.9893194577570738,-0.9893194577570738,0.4916352518110624,0.4916352518110624,0.5160819475577461,0.5160819475577461
1603832400,11569.2,11581.8,11139.2,11192.7,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450108,-1.5870643266626805,-1.5870643266626805,-4.211454196905369,-4.211454196905369,-3.25433046364485,-3.25433046364485,-3.519524178950084,-3.519524178950084
1603918800,11192.7,11471.8,11159.4,11258.6,1,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,511384,-1.0076319769282205,-1.0076319769282205,-3.6474736409694555,-3.6474736409694555,0.5887766133283268,0.5887766133283268,0.9631250448382204,0.9631250448382204
1604005200,11258.6,11295,10959.3,11100.8,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693432,-2.3951042802377644,-2.3951042802377644,-4.997946049568671,-4.997946049568671,-1.4015952249835777,-1.4015952249835777,-2.100714348708005,-2.100714348708005
