time,open,high,low,close,MA,EMA,EMA,Volume,Plot,MFI Bar TOP Line,MFI Bar BOTTOM Line,WT Wave 1,WT Wave 2,VWAP,RSI+MFI Area,WT Bearish Divergence,WT Bullish Divergence,WT 2nd Bearish Divergence,WT 2nd Bullish Divergence,RSI,RSI Bearish Divergence,RSI Bullish Divergence,Stoch K,Stoch D,Stoch Bearish Divergence,Stoch Bullish Divergence,Schaff Trend Cycle 1,Schaff Trend Cycle 2,Over Bought Level 2,Over Bought Level 3,Over Sold Level 2,Sommi bearish flag,Sommi bullish flag,Sommi bearish diamond,Sommi bullish diamond,Buy and sell circle,Buy circle,Sell circle,Divergence buy circle,Divergence sell circle,Gold  buy gold circle,Plot,MFI Bar TOP Line,MFI Bar BOTTOM Line,WT Wave 1,WT Wave 2,VWAP,RSI+MFI Area,WT Bearish Divergence,WT Bullish Divergence,WT 2nd Bearish Divergence,WT 2nd Bullish Divergence,RSI,RSI Bearish Divergence,RSI Bullish Divergence,Stoch K,Stoch D,Stoch Bearish Divergence,Stoch Bullish Divergence,Schaff Trend Cycle 1,Schaff Trend Cycle 2,Over Bought Level 2,Over Bought Level 3,Over Sold Level 2,Sommi bearish flag,Sommi bullish flag,Sommi bearish diamond,Sommi bullish diamond,Buy and sell circle,Buy circle,Sell circle,Divergence buy circle,Divergence sell circle,Gold  buy gold circle
1768478400,96530.9,97113.1,95347.7,96694.8,89592.45000000001,94676.16014228444,96190.97203397837,20815.988,0,-95,-99,61.62128545097359,67.46702649754009,-5.845741046566502,0.3134836853216365,,,,,,67.9684367621463,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,61.62128545097359,67.46702649754009,-5.845741046566502,0.3134836853216365,,,,,,67.9684367621463,,,,,,,,60,100,-60,,,,,,,,,,
1768492800,96694.8,97034.9,95100,95458.6,89618.2155,94747.2910384404,96028.22269309429,16316.223,0,-95,-99,50.78883780734466,60.178593722037355,-9.389755914692692,-1.9490193116406511,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,50.78883780734466,60.178593722037355,-9.389755914692692,-1.9490193116406511,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1768507200,95458.6,95835,95071.8,95559.9,89645.76049999999,94821.16458040036,95924.15098351777,6805.541,0,-95,-99,37.553616747040756,49.987913335119664,-12.434296588078908,-0.5611128640209617,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,37.553616747040756,49.987913335119664,-12.434296588078908,-0.5611128640209617,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1768521600,95559.9,95818.2,95268.5,95296.6,89671.4935,94864.38598218215,95784.69520940271,4576.145,0,-95,-99,26.55637275450635,38.29960910296392,-11.743236348457572,-1.3349666649174077,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,26.55637275450635,38.29960910296392,-11.743236348457572,-1.3349666649174077,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1768536000,95296.6,95800,95072.9,95621.6,89698.66950000002,94933.22362016559,95748.45182953544,5963.181,0,-95,-99,18.21883560403417,27.44294170186042,-9.224106097826251,1.1839094428548074,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,18.21883560403417,27.44294170186042,-9.224106097826251,1.1839094428548074,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1768550400,95621.6,95819,95201.6,95377.5,89724.467,94973.61238196872,95666.01808963867,4386.131,0,-95,-99,11.000252025735573,18.591820128092024,-7.591568102356451,-1.869697540545717,,,,,,,,,,,2.933384423395214,,,60,100,-60,,,,,,,,,,,0,-95,-99,11.000252025735573,18.591820128092024,-7.591568102356451,-1.869697540545717,,,,,,,,,,,2.933384423395214,,,60,100,-60,,,,,,,,,,
1768564800,95377.5,95767.4,94241.3,94544.4,89746.16800000002,94934.59307451702,95416.76962527452,17451.654,0,-95,-99,-3.511452543138729,8.569211695543665,-12.080664238682393,-2.748177730794348,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,-3.511452543138729,8.569211695543665,-12.080664238682393,-2.748177730794348,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1768579200,94544.4,95206.5,94452.6,94967.4,89774.47950000002,94937.5755222882,95316.90970854685,8927.072,0,-95,-99,-12.922050065509502,-1.8110835276375592,-11.110966537871944,0.16919072128416968,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,-12.922050065509502,-1.8110835276375592,-11.110966537871944,0.16919072128416968,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1768593600,94967.4,95557.6,94629.7,95504.9,89807.11900000002,94989.15047480745,95358.68532886977,5590.94,0,-95,-99,-13.799546419692705,-10.077683009446986,-3.721863410245719,-0.7033463870110954,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,-13.799546419692705,-10.077683009446986,-3.721863410245719,-0.7033463870110954,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1768608000,95504.9,95553.6,95139.4,95319.1,89840.72700000003,95019.14588618859,95349.88858912094,2109.09,0,-95,-99,-12.088763403404364,-12.936786629535531,0.8480232261311667,-0.2805413191536008,,,,,,,,,,,,,,60,100,-60,,,,-108,-12.936786629535531,,,,,,0,-95,-99,-12.088763403404364,-12.936786629535531,0.8480232261311667,-0.2805413191536008,,,,,,,,,,,,,,60,100,-60,,,,-108,-12.936786629535531,,,,,
