armed_dt,direction,entry_price,touch_dt,regime_ratio,outcome_fixed_stop
2025-09-12 00:15 ET,bull,24012.25,2025-09-12 02:30 ET,0.5466,loss
2025-09-12 01:45 ET,bull,24032.5,2025-09-12 02:00 ET,0.3608,loss
2025-09-12 14:00 ET,bull,24113.0,2025-09-12 15:30 ET,0.291,win
2025-09-15 07:15 ET,bull,24131.5,2025-09-15 07:30 ET,0.3511,win
2025-09-15 09:00 ET,bull,24168.0,2025-09-15 09:15 ET,0.5142,win
2025-09-15 10:00 ET,bull,24238.0,2025-09-15 10:15 ET,0.9625,win
2025-09-15 14:00 ET,bull,24273.25,2025-09-15 14:15 ET,0.2988,win
2025-09-15 19:30 ET,bull,24540.25,2025-09-15 19:45 ET,0.4092,win
2025-09-16 02:00 ET,bull,24594.0,2025-09-16 02:15 ET,0.4293,win
2025-09-17 19:00 ET,bull,24567.0,2025-09-17 20:15 ET,0.3999,win
2025-09-17 23:15 ET,bull,24628.5,2025-09-17 23:45 ET,0.2841,loss
2025-09-18 05:00 ET,bull,24708.5,2025-09-18 06:15 ET,0.2447,win
2025-09-18 12:45 ET,bull,24780.75,2025-09-18 13:15 ET,0.3891,loss
2025-09-21 20:15 ET,bull,24860.75,2025-09-21 20:30 ET,0.2312,loss
2025-09-21 23:30 ET,bull,24855.75,2025-09-22 00:00 ET,0.2308,loss
2025-09-22 03:30 ET,bear,24785.5,2025-09-22 03:45 ET,0.2617,loss
2025-09-22 12:45 ET,bull,24975.5,2025-09-22 13:15 ET,0.4627,win
2025-09-22 14:30 ET,bull,25007.0,2025-09-22 14:45 ET,0.3384,loss
2025-09-23 13:45 ET,bear,24844.5,2025-09-23 14:00 ET,0.3057,win
2025-09-24 05:15 ET,bull,24901.25,2025-09-24 05:30 ET,0.2017,loss
2025-09-25 02:45 ET,bear,24732.75,2025-09-25 03:00 ET,0.4965,win
2025-09-25 05:00 ET,bear,24732.0,2025-09-25 05:15 ET,0.1888,win
2025-09-25 05:45 ET,bear,24712.75,2025-09-25 06:00 ET,0.1888,win
2025-09-25 07:15 ET,bear,24651.25,2025-09-25 10:45 ET,0.3173,win
2025-09-25 08:45 ET,bear,24579.5,2025-09-25 09:15 ET,0.2319,win
2025-09-25 09:45 ET,bear,24522.5,2025-09-25 10:00 ET,0.4824,ambiguous
2025-09-25 14:00 ET,bear,24532.75,2025-09-25 14:15 ET,0.3799,loss
2025-09-29 00:30 ET,bull,24830.5,2025-09-29 00:45 ET,0.4262,win
2025-09-29 02:45 ET,bull,24842.25,2025-09-29 03:00 ET,0.5284,win
2025-09-29 03:30 ET,bull,24849.75,2025-09-29 03:45 ET,0.3425,win
2025-09-29 04:15 ET,bull,24865.0,2025-09-29 07:00 ET,0.7041,win
2025-09-29 05:00 ET,bull,24886.25,2025-09-29 05:15 ET,0.3521,win
2025-09-29 15:15 ET,bear,24822.0,2025-09-29 15:30 ET,0.3825,win
2025-09-30 09:45 ET,bear,24806.5,2025-09-30 10:00 ET,0.5135,win
2025-09-30 11:30 ET,bear,24806.0,2025-09-30 11:45 ET,0.4693,win
2025-09-30 23:15 ET,bear,24774.5,2025-09-30 23:45 ET,0.2539,win
2025-10-01 01:30 ET,bear,24769.0,2025-10-01 01:45 ET,0.4893,win
2025-10-01 03:00 ET,bear,24689.25,2025-10-01 04:30 ET,0.3632,loss
2025-10-01 14:15 ET,bull,25007.5,2025-10-01 15:30 ET,0.5868,win
2025-10-02 01:00 ET,bull,25065.75,2025-10-02 01:15 ET,0.5024,win
2025-10-02 08:15 ET,bull,25153.5,2025-10-02 08:30 ET,0.3151,loss
2025-10-02 11:00 ET,bear,25051.25,2025-10-02 11:15 ET,0.4987,win
2025-10-02 20:45 ET,bull,25145.0,2025-10-02 21:00 ET,0.5115,win
2025-10-03 00:00 ET,bull,25168.5,2025-10-03 00:15 ET,0.4584,loss
2025-10-03 08:45 ET,bear,25127.0,2025-10-03 09:00 ET,0.2459,loss
2025-10-03 14:00 ET,bear,24986.75,2025-10-03 14:15 ET,0.4754,loss
2025-10-05 21:45 ET,bull,25070.5,2025-10-06 00:00 ET,0.3477,win
2025-10-05 23:15 ET,bull,25088.5,2025-10-05 23:30 ET,0.2898,loss
2025-10-06 00:45 ET,bull,25100.0,2025-10-06 01:00 ET,0.4502,loss
2025-10-06 02:45 ET,bull,25099.0,2025-10-06 03:00 ET,0.9762,loss
2025-10-06 04:15 ET,bull,25094.0,2025-10-06 04:45 ET,0.5821,win
2025-10-06 08:15 ET,bull,25210.0,2025-10-06 08:30 ET,0.2596,loss
2025-10-06 12:00 ET,bull,25183.25,2025-10-06 12:15 ET,0.6105,win
2025-10-06 19:00 ET,bear,25144.25,2025-10-06 19:15 ET,0.3375,loss
2025-10-07 08:00 ET,bull,25196.0,2025-10-07 10:30 ET,0.2595,loss
2025-10-07 09:00 ET,bull,25241.25,2025-10-07 09:15 ET,0.4105,loss
2025-10-07 11:45 ET,bear,25041.5,2025-10-07 12:00 ET,0.588,win
2025-10-08 10:15 ET,bull,25184.0,2025-10-08 10:45 ET,0.7308,win
2025-10-08 15:30 ET,bull,25303.25,2025-10-08 15:45 ET,0.2597,win
2025-10-08 19:30 ET,bull,25384.25,2025-10-08 19:45 ET,0.4927,loss
2025-10-09 20:00 ET,bull,25322.25,2025-10-09 20:15 ET,0.4872,loss
2025-10-09 21:00 ET,bull,25333.0,2025-10-09 23:00 ET,0.4269,loss
2025-10-09 21:30 ET,bull,25340.5,2025-10-09 22:45 ET,0.4269,loss
2025-10-10 09:45 ET,bull,25325.75,2025-10-10 10:00 ET,0.4653,win
2025-10-10 11:30 ET,bear,24865.5,2025-10-10 11:45 ET,0.699,ambiguous
2025-10-10 14:00 ET,bear,24692.5,2025-10-10 14:15 ET,0.25,win
2025-10-10 15:30 ET,bear,24546.0,2025-10-10 15:45 ET,0.359,win
2025-10-12 21:00 ET,bull,24821.5,2025-10-12 22:45 ET,0.3713,loss
2025-10-12 21:45 ET,bull,24845.5,2025-10-12 22:00 ET,0.3713,loss
2025-10-13 00:30 ET,bull,24795.0,2025-10-13 02:00 ET,0.4012,win
2025-10-13 03:30 ET,bull,24910.75,2025-10-13 03:45 ET,0.287,loss
2025-10-14 00:30 ET,bear,24805.5,2025-10-14 00:45 ET,0.5576,win
2025-10-14 01:45 ET,bear,24715.75,2025-10-14 02:00 ET,0.4697,win
2025-10-14 03:45 ET,bear,24670.25,2025-10-14 04:30 ET,0.3912,loss
2025-10-14 06:45 ET,bear,24558.75,2025-10-14 07:00 ET,0.494,loss
2025-10-14 12:45 ET,bull,24890.25,2025-10-14 13:00 ET,0.7267,win
2025-10-15 01:15 ET,bull,24890.0,2025-10-15 01:30 ET,0.9628,win
2025-10-15 04:15 ET,bull,24908.0,2025-10-15 09:45 ET,0.5255,win
2025-10-15 05:15 ET,bull,24944.5,2025-10-15 05:30 ET,0.8447,win
2025-10-15 08:15 ET,bull,24987.5,2025-10-15 08:30 ET,0.2463,loss
2025-10-15 10:15 ET,bull,25072.5,2025-10-15 11:00 ET,0.7175,loss
2025-10-15 13:15 ET,bear,24793.0,2025-10-15 13:30 ET,0.4884,ambiguous
2025-10-16 04:00 ET,bull,25031.0,2025-10-16 04:15 ET,0.4847,win
2025-10-16 06:15 ET,bull,25050.5,2025-10-16 06:45 ET,0.7655,win
2025-10-16 08:45 ET,bull,25078.0,2025-10-16 09:00 ET,0.3186,ambiguous
2025-10-16 14:15 ET,bear,24739.25,2025-10-16 14:30 ET,0.4651,ambiguous
2025-10-17 01:15 ET,bear,24683.5,2025-10-17 02:00 ET,1.0855,win
2025-10-17 08:15 ET,bull,24747.0,2025-10-17 08:30 ET,0.3196,win
2025-10-17 14:30 ET,bull,24983.75,2025-10-17 14:45 ET,0.5238,win
2025-10-17 15:15 ET,bull,25020.5,2025-10-17 15:30 ET,0.7776,loss
2025-10-20 13:15 ET,bull,25330.5,2025-10-20 13:45 ET,0.2698,loss
2025-10-21 09:45 ET,bear,25273.5,2025-10-21 10:15 ET,0.5259,win
2025-10-22 00:15 ET,bull,25318.25,2025-10-22 00:30 ET,1.3797,loss
2025-10-22 02:15 ET,bull,25316.25,2025-10-22 02:30 ET,0.9141,loss
2025-10-22 04:15 ET,bear,25269.25,2025-10-22 04:30 ET,0.5476,win
2025-10-22 11:30 ET,bear,25073.75,2025-10-22 11:45 ET,1.5501,loss
2025-10-22 13:45 ET,bear,24874.0,2025-10-22 14:00 ET,0.2741,ambiguous
2025-10-22 20:00 ET,bear,25006.25,2025-10-22 20:15 ET,0.7714,loss
2025-10-23 21:15 ET,bull,25302.5,2025-10-23 21:30 ET,0.4911,win
2025-10-23 22:00 ET,bull,25311.5,2025-10-23 22:30 ET,0.6348,win
2025-10-23 23:30 ET,bull,25324.0,2025-10-23 23:45 ET,0.8784,win
2025-10-24 08:45 ET,bull,25446.75,2025-10-24 09:30 ET,0.3221,win
2025-10-24 11:30 ET,bull,25513.5,2025-10-24 11:45 ET,1.5255,win
2025-10-24 15:15 ET,bull,25550.75,2025-10-24 15:30 ET,0.7548,loss
2025-10-27 06:00 ET,bull,25829.0,2025-10-27 07:15 ET,0.8886,win
2025-10-27 08:15 ET,bull,25832.75,2025-10-27 08:30 ET,0.3627,win
2025-10-27 13:45 ET,bull,25920.75,2025-10-27 14:00 ET,0.4691,win
2025-10-28 09:15 ET,bull,26034.25,2025-10-28 09:45 ET,0.5495,win
2025-10-28 12:45 ET,bull,26106.25,2025-10-28 13:00 ET,0.6968,win
2025-10-28 14:30 ET,bull,26177.0,2025-10-28 15:45 ET,0.4917,win
2025-10-29 00:45 ET,bull,26244.0,2025-10-29 05:00 ET,0.7143,win
2025-10-29 07:30 ET,bull,26280.5,2025-10-29 07:45 ET,1.1654,win
2025-10-29 23:15 ET,bull,26371.75,2025-10-29 23:45 ET,0.7897,loss
2025-10-30 05:45 ET,bear,26219.75,2025-10-30 06:00 ET,0.4841,loss
2025-10-30 11:45 ET,bear,26014.5,2025-10-30 12:00 ET,0.6341,loss
2025-10-30 20:30 ET,bull,26175.5,2025-10-30 21:15 ET,0.5584,win
2025-10-31 13:15 ET,bear,25928.25,2025-10-31 13:30 ET,0.4476,loss
2025-11-02 19:30 ET,bull,26101.5,2025-11-02 20:00 ET,0.6638,loss
2025-11-03 04:30 ET,bull,26136.25,2025-11-03 04:45 ET,0.3584,win
2025-11-03 09:15 ET,bull,26208.0,2025-11-03 09:30 ET,0.5918,ambiguous
2025-11-03 19:30 ET,bear,26013.5,2025-11-03 19:45 ET,0.6131,win
2025-11-03 22:45 ET,bear,25938.25,2025-11-03 23:00 ET,0.6213,win
2025-11-04 01:15 ET,bear,25799.25,2025-11-04 01:45 ET,0.745,win
2025-11-04 05:00 ET,bear,25693.75,2025-11-04 05:15 ET,0.678,loss
2025-11-04 14:45 ET,bear,25609.75,2025-11-04 15:00 ET,0.5637,win
2025-11-05 08:45 ET,bull,25579.0,2025-11-05 09:00 ET,0.6742,loss
2025-11-05 10:00 ET,bull,25642.75,2025-11-05 10:15 ET,0.4152,win
2025-11-05 12:45 ET,bull,25801.25,2025-11-05 15:45 ET,0.8027,loss
2025-11-05 23:30 ET,bull,25729.5,2025-11-05 23:45 ET,0.7034,loss
2025-11-06 05:30 ET,bull,25752.5,2025-11-06 05:45 ET,1.2078,win
2025-11-06 08:30 ET,bull,25800.25,2025-11-06 08:45 ET,0.6914,loss
2025-11-06 20:30 ET,bear,25262.5,2025-11-06 20:45 ET,0.6783,win
2025-11-07 06:15 ET,bear,25159.0,2025-11-07 06:45 ET,0.4785,win
2025-11-07 09:45 ET,bear,25045.5,2025-11-07 14:30 ET,0.92,ambiguous
2025-11-09 22:30 ET,bull,25466.5,2025-11-09 22:45 ET,1.1568,win
2025-11-10 09:45 ET,bull,25588.5,2025-11-10 10:45 ET,0.9463,ambiguous
2025-11-10 19:00 ET,bull,25730.0,2025-11-10 19:15 ET,1.0788,loss
2025-11-11 01:15 ET,bull,25682.0,2025-11-11 01:45 ET,0.9298,loss
2025-11-11 13:00 ET,bull,25609.25,2025-11-11 13:30 ET,0.3198,win
2025-11-11 20:15 ET,bull,25702.25,2025-11-11 20:30 ET,1.0357,win
2025-11-11 21:15 ET,bull,25748.75,2025-11-11 21:30 ET,0.8571,loss
2025-11-12 01:45 ET,bull,25766.25,2025-11-12 03:00 ET,0.9624,win
2025-11-12 04:45 ET,bull,25811.25,2025-11-12 05:15 ET,0.7816,loss
2025-11-12 22:30 ET,bull,25670.5,2025-11-12 22:45 ET,1.1545,win
2025-11-13 04:30 ET,bear,25573.5,2025-11-13 04:45 ET,0.7999,loss
2025-11-13 09:45 ET,bear,25418.0,2025-11-13 10:00 ET,1.0706,ambiguous
2025-11-13 13:00 ET,bear,25164.75,2025-11-13 16:15 ET,0.3485,win
2025-11-13 13:30 ET,bear,25074.5,2025-11-13 13:45 ET,0.3485,win
2025-11-14 01:30 ET,bear,25060.0,2025-11-14 01:45 ET,0.7728,win
2025-11-14 11:30 ET,bull,25202.25,2025-11-14 11:45 ET,0.5152,win
2025-11-16 19:45 ET,bull,25224.0,2025-11-16 20:00 ET,1.0679,win
2025-11-17 02:30 ET,bull,25309.0,2025-11-17 03:00 ET,0.732,win
2025-11-17 03:15 ET,bull,25325.0,2025-11-17 04:00 ET,0.4944,loss
2025-11-17 07:15 ET,bear,25175.5,2025-11-17 09:30 ET,0.9547,win
2025-11-17 07:45 ET,bear,25146.75,2025-11-17 09:30 ET,0.9547,ambiguous
2025-11-17 14:15 ET,bear,24884.5,2025-11-17 14:30 ET,0.8338,win
2025-11-17 23:30 ET,bear,24699.0,2025-11-17 23:45 ET,1.1759,loss
2025-11-18 01:45 ET,bear,24686.75,2025-11-18 02:15 ET,0.7727,win
2025-11-18 13:00 ET,bull,24735.75,2025-11-18 13:15 ET,0.5607,win
2025-11-19 05:00 ET,bull,24663.0,2025-11-19 08:00 ET,1.0386,win
2025-11-19 14:30 ET,bear,24617.0,2025-11-19 14:45 ET,0.9933,loss
2025-11-19 22:15 ET,bull,25173.25,2025-11-19 22:30 ET,1.1694,loss
2025-11-20 08:45 ET,bull,25184.75,2025-11-20 09:30 ET,0.3738,win
2025-11-20 12:15 ET,bear,24492.25,2025-11-20 12:30 ET,1.3087,win
2025-11-20 14:00 ET,bear,24300.0,2025-11-20 14:15 ET,1.0087,ambiguous
2025-11-20 21:15 ET,bear,24198.5,2025-11-20 21:30 ET,1.1588,win
2025-11-20 23:30 ET,bear,24156.0,2025-11-20 23:45 ET,1.2012,win
2025-11-21 00:45 ET,bear,24155.25,2025-11-21 01:00 ET,1.289,loss
2025-11-21 12:00 ET,bull,24312.75,2025-11-21 12:15 ET,1.4145,win
2025-11-21 14:00 ET,bull,24470.75,2025-11-21 14:45 ET,1.0611,ambiguous
2025-11-23 22:00 ET,bull,24510.0,2025-11-23 22:15 ET,1.1666,loss
2025-11-24 02:45 ET,bull,24504.25,2025-11-24 03:00 ET,1.3154,loss
2025-11-24 03:30 ET,bull,24523.5,2025-11-24 04:00 ET,0.9132,loss
2025-11-24 11:15 ET,bull,24847.0,2025-11-24 11:30 ET,2.5229,win
2025-11-24 12:45 ET,bull,24912.0,2025-11-24 14:30 ET,1.3485,win
2025-11-25 09:45 ET,bear,24825.75,2025-11-25 10:30 ET,1.3824,win
2025-11-25 15:45 ET,bull,25070.0,2025-11-25 16:00 ET,1.2253,win
2025-11-26 00:15 ET,bull,25183.0,2025-11-26 03:00 ET,1.0647,loss
2025-11-26 01:45 ET,bull,25208.0,2025-11-26 03:00 ET,0.7442,loss
2025-11-26 02:30 ET,bull,25223.5,2025-11-26 02:45 ET,1.3326,loss
2025-11-26 15:15 ET,bull,25344.25,2025-11-26 15:30 ET,1.2663,loss
2025-11-26 21:00 ET,bull,25325.25,2025-11-26 21:15 ET,1.2821,win
2025-11-27 00:15 ET,bull,25330.5,2025-11-27 00:30 ET,1.077,loss
2025-11-27 19:15 ET,bull,25338.25,2025-11-27 19:30 ET,0.9419,win
2025-11-27 20:15 ET,bull,25352.5,2025-11-27 20:30 ET,0.7441,win
2025-11-28 08:45 ET,bull,25365.0,2025-11-28 09:15 ET,0.4157,win
2025-11-28 13:00 ET,bull,25468.0,2025-11-30 18:00 ET,0.7247,win
2025-11-30 22:15 ET,bear,25263.75,2025-11-30 22:45 ET,1.0544,win
2025-12-01 20:15 ET,bull,25430.5,2025-12-01 20:30 ET,0.6835,loss
2025-12-01 23:00 ET,bull,25385.5,2025-12-01 23:15 ET,0.8314,loss
2025-12-02 06:00 ET,bull,25478.25,2025-12-02 06:45 ET,0.5425,win
2025-12-02 09:45 ET,bull,25562.0,2025-12-02 10:30 ET,1.063,win
2025-12-02 12:30 ET,bull,25584.25,2025-12-02 12:45 ET,0.9862,loss
2025-12-02 15:00 ET,bull,25615.0,2025-12-02 15:30 ET,1.2275,win
2025-12-02 20:00 ET,bull,25624.5,2025-12-03 03:15 ET,0.4589,win
2025-12-03 00:15 ET,bull,25666.75,2025-12-03 00:30 ET,0.7912,loss
2025-12-03 06:30 ET,bull,25632.0,2025-12-03 07:00 ET,0.534,win
2025-12-04 09:45 ET,bear,25609.0,2025-12-04 10:30 ET,0.8009,win
2025-12-04 21:30 ET,bull,25694.0,2025-12-04 21:45 ET,0.7032,win
2025-12-05 03:15 ET,bull,25730.5,2025-12-05 03:45 ET,0.9408,loss
2025-12-05 13:00 ET,bull,25718.5,2025-12-05 13:15 ET,0.6171,win
2025-12-07 20:45 ET,bull,25761.75,2025-12-07 21:00 ET,0.4302,win
2025-12-07 23:15 ET,bull,25793.75,2025-12-07 23:30 ET,0.6034,win
2025-12-08 01:15 ET,bull,25804.25,2025-12-08 01:30 ET,0.5125,win
2025-12-08 14:00 ET,bear,25597.25,2025-12-08 14:15 ET,0.6816,loss
2025-12-08 19:00 ET,bull,25715.75,2025-12-08 19:15 ET,1.2184,loss
2025-12-09 01:15 ET,bear,25661.0,2025-12-09 01:30 ET,0.3863,loss
2025-12-10 01:15 ET,bull,25697.5,2025-12-10 05:00 ET,0.3978,loss
2025-12-10 07:15 ET,bear,25649.0,2025-12-10 07:30 ET,0.546,loss
2025-12-10 22:15 ET,bear,25478.25,2025-12-10 22:45 ET,0.4306,loss
2025-12-12 06:45 ET,bear,25562.0,2025-12-12 07:00 ET,0.3121,loss
2025-12-12 10:30 ET,bear,25384.0,2025-12-12 10:45 ET,0.4884,win
2025-12-15 03:45 ET,bull,25278.25,2025-12-15 04:00 ET,0.4433,win
2025-12-15 06:30 ET,bull,25344.25,2025-12-15 07:00 ET,0.3726,win
2025-12-15 20:45 ET,bear,25167.25,2025-12-15 21:00 ET,0.4222,win
2025-12-16 00:15 ET,bear,25156.25,2025-12-16 03:00 ET,0.4784,loss
2025-12-16 07:15 ET,bull,25301.0,2025-12-16 07:30 ET,0.4629,loss
2025-12-16 12:00 ET,bull,25280.0,2025-12-16 12:15 ET,0.5587,win
2025-12-17 13:45 ET,bear,24978.5,2025-12-17 14:45 ET,0.5075,win
2025-12-18 08:45 ET,bull,25213.25,2025-12-18 09:30 ET,0.4425,win
2025-12-18 10:45 ET,bull,25356.25,2025-12-18 11:00 ET,1.0327,win
2025-12-18 22:30 ET,bull,25280.25,2025-12-19 01:30 ET,0.644,win
2025-12-19 02:15 ET,bull,25345.25,2025-12-19 02:30 ET,0.4855,win
2025-12-19 11:15 ET,bull,25516.25,2025-12-19 11:45 ET,0.3991,win
2025-12-19 12:30 ET,bull,25557.75,2025-12-19 13:30 ET,0.8049,win
2025-12-21 20:15 ET,bull,25678.25,2025-12-21 22:15 ET,0.9144,win
2025-12-22 04:30 ET,bull,25707.75,2025-12-22 05:00 ET,0.7865,win
2025-12-22 14:30 ET,bull,25697.5,2025-12-22 14:45 ET,0.9349,loss
2025-12-22 21:15 ET,bull,25721.25,2025-12-22 21:30 ET,0.8453,loss
2025-12-22 23:45 ET,bear,25691.75,2025-12-23 00:00 ET,0.7783,win
2025-12-23 01:30 ET,bear,25670.5,2025-12-23 02:00 ET,0.4299,loss
2025-12-23 08:45 ET,bear,25647.25,2025-12-23 09:15 ET,0.5652,loss
2025-12-23 12:00 ET,bull,25761.0,2025-12-23 12:30 ET,0.8349,win
2025-12-23 14:15 ET,bull,25783.5,2025-12-23 14:30 ET,0.9345,win
2025-12-23 15:00 ET,bull,25796.5,2025-12-23 15:15 ET,0.4172,win
2025-12-23 19:15 ET,bull,25814.0,2025-12-23 19:30 ET,0.827,win
2025-12-24 07:30 ET,bull,25805.25,2025-12-24 08:00 ET,0.6115,win
2025-12-24 08:45 ET,bull,25817.25,2025-12-24 09:00 ET,0.5864,win
2025-12-24 11:45 ET,bull,25872.0,2025-12-24 12:00 ET,0.4173,win
2025-12-25 19:15 ET,bull,25901.25,2025-12-25 19:30 ET,0.825,loss
2025-12-28 20:45 ET,bear,25850.25,2025-12-28 21:45 ET,0.9083,win
2025-12-29 02:15 ET,bear,25811.0,2025-12-29 02:30 ET,0.567,win
2025-12-29 07:45 ET,bear,25754.75,2025-12-29 08:00 ET,0.4689,win
2025-12-29 09:00 ET,bear,25702.5,2025-12-29 09:15 ET,0.9592,win
2025-12-29 11:00 ET,bear,25717.25,2025-12-29 11:30 ET,0.3539,win
2025-12-30 08:45 ET,bear,25715.0,2025-12-30 09:00 ET,0.5636,loss
2025-12-30 20:00 ET,bear,25621.75,2025-12-30 20:15 ET,0.9151,win
2025-12-31 01:00 ET,bear,25606.0,2025-12-31 02:30 ET,0.4593,win
2025-12-31 03:45 ET,bear,25571.75,2025-12-31 04:00 ET,0.5921,loss
2025-12-31 09:00 ET,bull,25698.5,2025-12-31 09:15 ET,0.7911,loss
2025-12-31 11:00 ET,bear,25569.0,2025-12-31 11:15 ET,0.2801,loss
2026-01-01 22:00 ET,bull,25596.0,2026-01-01 22:30 ET,0.678,win
2026-01-02 01:00 ET,bull,25634.5,2026-01-02 01:30 ET,0.4414,win
2026-01-02 03:15 ET,bull,25679.5,2026-01-02 03:30 ET,0.503,win
2026-01-02 06:00 ET,bull,25729.5,2026-01-02 06:15 ET,0.3348,loss
2026-01-02 11:00 ET,bear,25381.5,2026-01-02 11:15 ET,0.3071,win
2026-01-02 13:00 ET,bear,25353.5,2026-01-02 13:15 ET,0.2729,win
2026-01-05 01:00 ET,bull,25491.0,2026-01-05 01:15 ET,0.2454,win
2026-01-05 05:15 ET,bull,25540.0,2026-01-05 05:30 ET,0.2708,win
2026-01-05 15:15 ET,bull,25592.5,2026-01-05 15:30 ET,0.3737,win
2026-01-05 20:30 ET,bull,25591.0,2026-01-05 20:45 ET,0.5587,win
2026-01-05 22:00 ET,bull,25620.75,2026-01-05 22:15 ET,0.6338,win
2026-01-06 03:30 ET,bear,25562.0,2026-01-06 03:45 ET,0.6385,loss
2026-01-06 10:00 ET,bull,25726.25,2026-01-06 10:30 ET,0.9215,win
2026-01-07 04:15 ET,bear,25746.75,2026-01-07 04:30 ET,0.1812,loss
2026-01-07 09:45 ET,bull,25840.5,2026-01-07 10:00 ET,0.4879,win
2026-01-07 15:45 ET,bear,25847.5,2026-01-07 18:00 ET,0.268,win
2026-01-08 00:15 ET,bear,25768.0,2026-01-08 02:15 ET,0.4558,win
2026-01-08 13:15 ET,bear,25669.25,2026-01-08 13:45 ET,0.226,win
2026-01-08 20:00 ET,bear,25679.5,2026-01-08 21:15 ET,0.5431,loss
2026-01-08 20:30 ET,bear,25642.0,2026-01-08 20:45 ET,0.5431,loss
2026-01-09 03:15 ET,bull,25683.0,2026-01-09 03:30 ET,0.7654,win
2026-01-09 04:45 ET,bull,25710.25,2026-01-09 09:15 ET,0.2044,win
2026-01-09 08:00 ET,bull,25732.0,2026-01-09 08:15 ET,0.3376,win
2026-01-09 08:45 ET,bull,25782.75,2026-01-09 09:00 ET,0.3376,loss
2026-01-09 10:30 ET,bull,25780.0,2026-01-09 10:45 ET,0.9671,win
2026-01-09 11:15 ET,bull,25858.5,2026-01-09 11:30 ET,0.3444,win
2026-01-09 12:00 ET,bull,25898.0,2026-01-09 12:15 ET,0.3081,win
2026-01-12 11:15 ET,bull,25929.0,2026-01-12 11:45 ET,0.434,win
2026-01-12 13:15 ET,bull,25975.5,2026-01-12 13:45 ET,0.2874,win
2026-01-12 14:45 ET,bull,26004.25,2026-01-12 15:00 ET,0.6087,loss
2026-01-12 19:45 ET,bear,25882.25,2026-01-12 20:00 ET,0.8908,loss
2026-01-13 04:15 ET,bull,25922.0,2026-01-13 04:30 ET,0.3299,loss
2026-01-13 08:45 ET,bull,25944.5,2026-01-13 09:30 ET,0.377,win
2026-01-14 01:00 ET,bear,25858.75,2026-01-14 01:30 ET,0.4797,win
2026-01-14 11:00 ET,bear,25536.5,2026-01-14 11:15 ET,0.5053,ambiguous
2026-01-14 12:00 ET,bear,25505.75,2026-01-14 12:45 ET,0.5858,win
2026-01-14 21:30 ET,bear,25615.0,2026-01-14 21:45 ET,0.6682,win
2026-01-15 06:15 ET,bull,25831.75,2026-01-15 06:30 ET,0.2273,win
2026-01-15 08:45 ET,bull,25892.0,2026-01-15 09:00 ET,0.3753,win
2026-01-15 15:30 ET,bear,25726.75,2026-01-15 16:00 ET,0.6,loss
2026-01-15 20:00 ET,bull,25757.75,2026-01-15 20:15 ET,0.4726,win
2026-01-16 05:45 ET,bull,25848.5,2026-01-16 06:00 ET,0.9417,loss
2026-01-18 22:30 ET,bear,25395.0,2026-01-19 00:15 ET,0.3432,win
2026-01-19 02:00 ET,bear,25392.25,2026-01-19 03:15 ET,0.4772,win
2026-01-19 02:45 ET,bear,25355.0,2026-01-19 03:00 ET,0.4772,loss
2026-01-19 20:30 ET,bull,25413.5,2026-01-19 21:00 ET,0.4292,loss
2026-01-19 21:45 ET,bull,25423.5,2026-01-19 22:00 ET,0.607,loss
2026-01-20 01:30 ET,bear,25315.5,2026-01-20 02:00 ET,0.788,win
2026-01-20 19:00 ET,bear,25150.25,2026-01-20 19:15 ET,0.8683,loss
2026-01-20 21:30 ET,bear,25191.5,2026-01-20 22:00 ET,0.57,loss
2026-01-21 05:00 ET,bear,25165.5,2026-01-21 05:15 ET,0.9982,win
2026-01-21 07:00 ET,bear,25071.0,2026-01-21 07:15 ET,0.3861,loss
2026-01-21 10:00 ET,bull,25293.0,2026-01-21 11:30 ET,0.4415,win
2026-01-21 15:00 ET,bull,25573.25,2026-01-21 15:15 ET,0.5687,loss
2026-01-22 03:30 ET,bull,25640.25,2026-01-22 09:30 ET,0.713,win
2026-01-23 01:15 ET,bull,25717.25,2026-01-23 01:30 ET,0.9907,loss
2026-01-23 04:45 ET,bear,25573.0,2026-01-23 05:00 ET,1.0592,loss
2026-01-23 11:00 ET,bull,25804.75,2026-01-23 11:15 ET,0.977,loss
2026-01-26 09:00 ET,bull,25716.25,2026-01-26 09:15 ET,1.0872,win
2026-01-26 21:15 ET,bull,25947.0,2026-01-26 21:30 ET,0.4502,win
2026-01-26 22:00 ET,bull,25967.75,2026-01-26 22:15 ET,0.5935,win
2026-01-26 23:15 ET,bull,25982.0,2026-01-27 00:00 ET,0.5578,win
2026-01-27 01:15 ET,bull,26015.0,2026-01-27 01:30 ET,0.9836,loss
2026-01-27 06:45 ET,bull,26024.75,2026-01-27 07:00 ET,0.8852,loss
2026-01-27 13:30 ET,bull,26076.25,2026-01-27 14:00 ET,0.4636,win
2026-01-27 19:45 ET,bull,26194.5,2026-01-27 22:30 ET,0.6585,win
2026-01-27 20:15 ET,bull,26214.75,2026-01-27 20:30 ET,0.6349,win
2026-01-28 01:15 ET,bull,26294.75,2026-01-28 02:00 ET,0.9758,loss
2026-01-28 20:30 ET,bear,26124.25,2026-01-28 20:45 ET,0.5851,loss
2026-01-29 02:45 ET,bull,26251.5,2026-01-29 03:00 ET,0.5873,loss
