armed_dt,direction,entry_price,touch_dt,regime_ratio,outcome_fixed_stop
2025-02-06 20:45 ET,bull,21888.0,2025-02-06 21:00 ET,1.089,loss
2025-02-07 11:00 ET,bear,21728.0,2025-02-07 11:15 ET,0.8604,win
2025-02-07 15:15 ET,bear,21591.75,2025-02-07 15:30 ET,0.8188,win
2025-02-09 23:00 ET,bull,21687.25,2025-02-09 23:45 ET,0.7069,win
2025-02-10 06:30 ET,bull,21739.25,2025-02-10 06:45 ET,1.1608,win
2025-02-10 08:45 ET,bull,21765.0,2025-02-10 09:15 ET,0.387,win
2025-02-10 13:00 ET,bull,21857.5,2025-02-10 14:00 ET,0.6781,loss
2025-02-10 21:30 ET,bear,21770.25,2025-02-10 22:15 ET,0.8315,win
2025-02-11 03:00 ET,bear,21749.0,2025-02-11 03:15 ET,0.8769,win
2025-02-11 05:45 ET,bear,21746.5,2025-02-11 06:00 ET,0.6131,win
2025-02-11 14:45 ET,bull,21823.25,2025-02-11 15:00 ET,0.7276,loss
2025-02-11 23:45 ET,bear,21783.5,2025-02-12 00:00 ET,0.5932,win
2025-02-12 00:30 ET,bear,21775.5,2025-02-12 00:45 ET,1.4783,loss
2025-02-12 04:15 ET,bear,21768.5,2025-02-12 04:30 ET,0.5704,loss
2025-02-12 08:00 ET,bull,21825.0,2025-02-12 08:15 ET,0.424,loss
2025-02-12 13:00 ET,bull,21793.0,2025-02-12 13:15 ET,0.6973,win
2025-02-12 19:45 ET,bull,21892.5,2025-02-12 20:00 ET,0.6296,loss
2025-02-12 22:30 ET,bull,21900.25,2025-02-13 00:30 ET,0.5172,loss
2025-02-12 23:15 ET,bull,21915.0,2025-02-12 23:45 ET,0.5691,loss
2025-02-13 03:30 ET,bear,21794.25,2025-02-13 03:45 ET,0.8311,loss
2025-02-13 08:45 ET,bull,21852.25,2025-02-13 09:30 ET,1.1422,win
2025-02-13 10:45 ET,bull,22024.25,2025-02-13 11:15 ET,1.1396,loss
2025-02-14 13:45 ET,bull,22184.0,2025-02-14 14:00 ET,0.6772,win
2025-02-16 20:45 ET,bull,22243.25,2025-02-16 21:00 ET,0.7128,loss
2025-02-16 21:30 ET,bull,22261.0,2025-02-16 22:30 ET,0.5432,loss
2025-02-17 09:45 ET,bear,22217.0,2025-02-17 10:00 ET,0.4545,loss
2025-02-17 22:00 ET,bull,22253.5,2025-02-18 00:45 ET,0.5329,win
2025-02-18 01:45 ET,bull,22293.0,2025-02-18 03:00 ET,0.6269,loss
2025-02-18 10:00 ET,bear,22205.25,2025-02-18 10:15 ET,0.7394,win
2025-02-18 20:00 ET,bull,22274.0,2025-02-18 20:15 ET,0.5915,loss
2025-02-18 21:45 ET,bull,22280.0,2025-02-18 22:30 ET,0.4178,loss
2025-02-20 07:45 ET,bull,22193.25,2025-02-20 08:00 ET,0.3883,loss
2025-02-20 13:00 ET,bear,22068.5,2025-02-20 13:45 ET,0.285,loss
