time,open,high,low,close,EMA,Volume,Volume MA,EMA Direction (debug),HTF EMA Value (debug),SCRIPT VERSION: NPtMR 1.2,Order Sent Long,Order Sent Short
1785830280,29067,29072.25,29066.75,29069.25,,339,524.7,-1,29078.712726455018,4,0,0
1785830340,29069.75,29072.5,29065.75,29070.75,29075.982608449267,411,519.1,-1,29078.712726455018,4,0,0
1785830400,29072.25,29078.25,29067,29074.5,,1174,549.55,-1,29076.058484303347,4,0,0
1785830460,29074.75,29099,29072.25,29098.5,,1525,608.6,1,29076.058484303347,4,0,0
1785830520,29098.25,29099.75,29093.25,29097.5,,1158,630.55,1,29076.058484303347,4,0,0
1785830580,29098.25,29117.75,29096.75,29110.25,,1400,675.4,1,29076.058484303347,4,0,0
1785830640,29110.25,29116.75,29106.5,29109,29079.12712193029,721,695,1,29076.058484303347,4,0,0
1785830700,29110,29116.75,29106.5,29116.75,,606,707.8,1,29076.058484303347,4,0,0
1785830760,29116.25,29124.75,29111.25,29114.5,,1174,747,1,29076.058484303347,4,0,0
1785830820,29115.25,29123.75,29114.75,29117.5,,699,759.4,1,29076.058484303347,4,0,0
1785830880,29117.25,29120.75,29106.25,29117,,829,757.8,1,29076.058484303347,4,0,0
1785830940,29117.75,29123.5,29114.25,29119.25,29082.94834841312,670,759.3,1,29076.058484303347,4,0,0
1785831000,29118.5,29119.5,29103,29116.25,,910,767.55,1,29076.058484303347,4,0,0
1785831060,29116.25,29118.25,29106.5,29111,,577,765.95,1,29076.058484303347,4,0,0
1785831120,29111.25,29116.5,29108.75,29112.5,,343,751.25,1,29076.058484303347,4,0,0
1785831180,29111.75,29115.25,29104.5,29112.5,,511,761.8,1,29076.058484303347,4,0,0
1785831240,29113.75,29114.75,29100,29108.5,29085.38183904044,712,765.75,1,29076.058484303347,4,0,0
1785831300,29108.75,29120.5,29104.75,29117.75,,737,782.85,1,29086.872322868898,4,0,0
1785831360,29116.25,29125.75,29115.75,29122.25,,753,788.6,1,29086.872322868898,4,0,0
1785831420,29122,29123,29116.75,29120.25,,430,783.95,1,29086.872322868898,4,0,0
1785831480,29120.5,29124,29115.5,29120,,713,802.65,1,29086.872322868898,4,0,0
1785831540,29119.5,29123,29114.5,29118.5,29088.53594960802,416,802.9,1,29086.872322868898,4,0,0
