time,open,high,low,close,EMA Direction (debug),HTF EMA Value (debug),SCRIPT VERSION: NPtMR 1.0,Order Sent Long,Order Sent Short,EMA,Volume,Volume MA
1785796920,28960,28962,28958.75,28960.25,1,28929.722549221617,2,0,0,,286,476.2
1785796980,28959.5,28960.25,28957,28957.25,1,28929.722549221617,2,0,0,,371,484.3
1785797040,28957.25,28959.25,28956,28957.5,1,28929.722549221617,2,0,0,28938.98169948108,283,490.9
1785797100,28956.75,28957.5,28946.25,28950.5,1,28938.98169948108,2,0,0,,1001,528.35
1785797160,28949.75,28952,28946.5,28950,1,28938.98169948108,2,0,0,,441,534.45
1785797220,28949.5,28950.5,28940.5,28947,1,28938.98169948108,2,0,0,,867,563.25
1785797280,28947.75,28953.75,28947,28949,1,28938.98169948108,2,0,0,,431,578.25
1785797340,28948.25,28951.5,28943.25,28946,1,28938.98169948108,2,0,0,,399,593.25
1785797400,28945,28947.25,28942,28943.75,1,28938.98169948108,2,0,0,,373,594.65
1785797460,28943.75,28945.75,28943,28943.25,1,28938.98169948108,2,0,0,,240,594.85
1785797520,28944,28948,28943.75,28946.25,1,28938.98169948108,2,0,0,,277,586.45
1785797580,28945.25,28951.25,28945.25,28945.75,1,28938.98169948108,2,0,0,,390,578.05
1785797640,28945.5,28952.5,28942,28951.75,1,28938.98169948108,2,0,0,,534,530.2
1785797700,28952,28952.5,28948.25,28949.75,1,28938.98169948108,2,0,0,,284,490.6
1785797760,28949.75,28951.25,28946.75,28946.75,1,28938.98169948108,2,0,0,,202,467.7
1785797820,28946.5,28948.25,28946.25,28947.75,1,28938.98169948108,2,0,0,,141,461.9
1785797880,28947,28948,28944.5,28946,1,28938.98169948108,2,0,0,,169,457.7
1785797940,28946,28948.75,28944.5,28945.75,1,28938.98169948108,2,0,0,28941.237799654053,200,434.55
1785798000,28945.25,28946.25,28940,28943,1,28941.237799654053,2,0,0,,663,403
1785798060,28943.75,28947,28936,28938,-1,28941.237799654053,2,0,0,,693,412.25
1785798120,28938,28948,28935.75,28946.5,1,28941.237799654053,2,0,0,,610,428.45
1785798180,28945,28948.25,28944,28947.75,1,28941.237799654053,2,0,0,,185,419.15
1785798240,28947,28948,28939.5,28940,-1,28941.237799654053,2,0,0,,455,427.75
1785798300,28940,28943.5,28937,28940,-1,28941.237799654053,2,0,0,,444,399.9
1785798360,28940.75,28941.25,28929.5,28931.75,-1,28941.237799654053,2,0,0,,1241,439.9
1785798420,28931.5,28936.25,28930.5,28932.75,-1,28941.237799654053,2,0,0,,596,426.35
1785798480,28933,28935.5,28930.75,28934.5,-1,28941.237799654053,2,0,0,,449,427.25
1785798540,28934.75,28937.75,28933.5,28937.75,-1,28941.237799654053,2,0,0,,529,433.75
1785798600,28938,28940.75,28936,28939.5,-1,28941.237799654053,2,0,0,,450,437.6
1785798660,28940,28941.75,28938.5,28940.25,-1,28941.237799654053,2,0,0,,332,442.2
1785798720,28940.5,28940.75,28934.25,28936.5,-1,28941.237799654053,2,0,0,,476,452.15
1785798780,28936.5,28937.75,28934.5,28935.75,-1,28941.237799654053,2,0,0,,269,446.1
1785798840,28936,28940.25,28934.25,28938.25,-1,28941.237799654053,2,0,0,28940.241866436034,359,437.35
1785798900,28937.5,28948.25,28936.5,28943.75,1,28940.241866436034,2,0,0,,754,460.85
1785798960,28943.25,28949.75,28940.75,28946.5,1,28940.241866436034,2,0,0,,827,492.1
1785799020,28946.5,28948.5,28945.25,28948,1,28940.241866436034,2,0,0,,340,502.05
1785799080,28948,28949.25,28944.25,28948,1,28940.241866436034,2,0,0,,332,510.2
1785799140,28948,28957,28947,28951.25,1,28940.241866436034,2,0,0,,1107,555.55
1785799200,28951,28955,28951,28955,1,28940.241866436034,2,0,0,,367,540.75
1785799260,28954,28958.25,28949.75,28955,1,28940.241866436034,2,0,0,,712,541.7
1785799320,28954,28957.75,28953,28955.25,1,28940.241866436034,2,0,0,,257,524.05
1785799380,28954.5,28955.25,28947.5,28951.75,1,28940.241866436034,2,0,0,,728,551.2
1785799440,28951.75,28952.5,28947,28947,1,28940.241866436034,2,0,0,,364,546.65
1785799500,28947.5,28950,28947,28948.75,1,28940.241866436034,2,0,0,,182,533.55
1785799560,28948.25,28949.25,28941.25,28945.5,1,28940.241866436034,2,0,0,,877,515.35
1785799620,28945.5,28952,28945,28950,1,28940.241866436034,2,0,0,,410,506.05
1785799680,28949.75,28950,28945.5,28946.75,1,28940.241866436034,2,0,0,,314,499.3
1785799740,28946.75,28949.5,28945.5,28948.75,1,28940.241866436034,2,0,0,28943.077910957356,254,485.55
