time,open,high,low,close,EMA Direction (debug),Entry Arrow Long,Entry Arrow Short,Invalidated (Long side),Invalidated (Short side),Volume,Volume MA
1785282900,28079.75,28087.25,28065.5,28079.25,1,0,0,0,0,1819,2274.55
1785282960,28078.5,28087.5,28075.25,28079.75,1,0,0,0,0,1169,2273.75
1785283020,28079,28094.5,28073.75,28093.75,1,0,0,0,0,1589,2297.3
1785283080,28093,28098.75,28083.25,28091.5,1,0,0,0,0,1458,2309.55
1785283140,28091.75,28105,28080.5,28102.75,1,0,0,0,0,1792,2361.65
1785283200,28102.75,28110,28076.75,28083,1,0,0,0,0,3445,2460.35
1785283260,28083,28144.25,28079,28141.75,1,0,0,0,0,5178,2642.4
1785283320,28142,28177.25,28126.25,28138.75,1,0,0,0,0,4911,2831.2
1785283380,28138.75,28144,28129,28140,1,0,0,0,0,1765,2824.75
1785283440,28139.75,28153.5,28135.5,28142.25,1,0,0,0,0,1637,2557.9
1785283500,28143.25,28153.75,28130.5,28138,1,0,0,0,0,1846,2460.15
1785283560,28138,28158.25,28131.25,28144,1,0,0,0,0,2117,2440.95
1785283620,28143.25,28157.75,28136.25,28155.25,1,0,0,0,0,1366,2333
1785283680,28154.5,28168.75,28149.5,28154.5,1,0,0,0,0,1978,2323.85
1785283740,28154,28158.25,28140.25,28140.25,1,0,0,0,0,1346,2233.65
1785283800,28140,28153.25,28134.75,28136.25,1,0,0,0,0,1500,2123.6
1785283860,28135.75,28149.25,28132.75,28147.25,1,0,0,0,0,1182,2089.5
1785283920,28147,28154.5,28130,28151.25,1,0,0,0,0,1677,2037.4
1785283980,28149.25,28157.75,28148.25,28153,1,0,0,0,0,1283,2030.9
1785284040,28153.5,28160.75,28136.75,28142,1,0,0,0,0,1549,2030.35
1785284100,28139.5,28139.5,28109.25,28132.75,1,1,0,1,0,3256,2102.2
1785284160,28132.25,28138.25,28115.5,28129.25,1,0,0,0,0,1664,2126.95
1785284220,28129.75,28152,28124,28130,1,0,0,1,0,2143,2154.65
1785284280,28129,28142,28118.5,28132,1,0,0,0,0,1198,2141.65
1785284340,28131.25,28145.25,28127.5,28142.75,1,0,0,0,0,952,2099.65
1785284400,28141.75,28153,28123.75,28126.75,1,0,0,1,0,1501,2002.45
1785284460,28126.5,28165.5,28115,28151.25,1,0,0,0,0,2706,1878.85
1785284520,28151,28155.75,28116,28118.75,1,0,0,0,0,1807,1723.65
