time,open,high,low,close,EMA Direction (debug),Entry Arrow Long,Entry Arrow Short,Invalidated (Long side),Invalidated (Short side),Volume,Volume MA
1785261060,27961.75,27961.75,27949.5,27957.25,-1,0,0,0,0,1759,2589.75
1785261120,27956.75,27966.5,27943.5,27944.75,-1,0,1,0,0,2150,2631.8
1785261180,27945.25,27951.75,27943.5,27950.5,-1,0,0,0,1,1457,2504
1785261240,27950,27954.25,27936.5,27941.25,-1,0,0,0,0,2859,2520.1
1785261300,27940.75,27944.25,27924.5,27931.5,-1,0,0,0,0,3572,2560.3
1785261360,27931.75,27949.5,27928.5,27949,-1,0,0,0,0,2741,2593.6
1785261420,27948.5,27951,27939.75,27946.75,-1,0,0,0,0,1662,2597.55
1785261480,27947,27959,27940.75,27957.25,-1,0,0,0,0,2206,2635.2
1785261540,27957.75,27974.5,27957.5,27974,-1,0,0,0,0,2825,2684.7
1785261600,27974.5,27999.75,27966.25,27991,1,0,0,0,0,5809,2795.25
1785261660,27990.25,27994.75,27958.75,27958.75,-1,0,0,0,0,3816,2881.65
1785261720,27958.75,27976,27954.5,27964.75,-1,0,0,0,0,3385,2947.05
1785261780,27964.5,27969.75,27957.75,27962.25,-1,0,0,0,0,2542,2911
1785261840,27962,27971.75,27952.75,27969.25,-1,0,0,0,0,2389,2876.6
1785261900,27968.75,27974,27956.75,27960,-1,0,0,0,0,2297,2838.95
1785261960,27959.5,27963,27947.5,27952,-1,0,0,0,0,2286,2850.75
1785262020,27952,27953.25,27937.25,27946,-1,0,0,0,0,3080,2841.75
1785262080,27946.75,27952.25,27940,27942.5,-1,0,0,0,0,1763,2715.65
1785262140,27942.25,27947.75,27939.5,27944.5,-1,0,0,0,0,1327,2627.6
1785262200,27944.5,27949.75,27935,27938.75,-1,0,0,0,0,2342,2613.35
1785262260,27938.5,27944,27924,27928,-1,0,0,0,0,2702,2660.5
1785262320,27927.5,27938.25,27924.25,27936.75,-1,0,0,0,0,2466,2676.3
1785262380,27937.25,27940.25,27917.5,27928.75,-1,0,0,0,0,3227,2764.8
1785262440,27928.75,27929.25,27915,27917.25,-1,0,0,0,0,2127,2728.2
1785262500,27917.75,27938,27915.25,27935,-1,0,0,0,0,3074,2703.3
1785262560,27935,27938,27923.25,27935.5,-1,0,0,0,0,2111,2671.8
1785262620,27935.75,27936.75,27912,27922,-1,0,0,0,0,2616,2719.5
1785262680,27921.5,27929,27919.5,27924.5,-1,0,0,0,0,1517,2685.05
1785262740,27925,27934,27916.75,27929,-1,0,0,0,0,2172,2652.4
1785262800,27929.25,27944.25,27924,27943.25,-1,0,0,0,0,2891,2506.5
1785262860,27943.5,27946,27929.25,27933.5,-1,0,0,0,0,2714,2451.4
1785262920,27933.5,27944.25,27928,27943.5,-1,0,0,0,0,1983,2381.3
1785262980,27943.75,27948,27922,27929,-1,0,0,0,0,2603,2384.35
1785263040,27928.5,27935.5,27924.5,27926.25,-1,0,0,0,0,1236,2326.7
1785263100,27926.25,27936.5,27920.25,27930.25,-1,0,0,0,0,2055,2314.6
1785263160,27930.25,27935.5,27924.5,27926,-1,0,0,0,0,1418,2271.2
1785263220,27926.25,27926.25,27917,27920.75,-1,0,0,0,0,2139,2224.15
1785263280,27921.5,27928.75,27914,27917.75,-1,0,0,0,0,2349,2253.45
1785263340,27918.25,27927,27918,27926.5,-1,0,0,0,0,1422,2258.2
1785263400,27926.5,27942.75,27920,27932.5,-1,0,0,0,0,3620,2322.1
1785263460,27932,27936.75,27924.5,27929,-1,0,0,0,0,2125,2293.25
1785263520,27929.25,27936.25,27925.75,27931,-1,0,0,0,0,1707,2255.3
1785263580,27931.5,27955.25,27929.5,27953.75,-1,0,0,0,0,3544,2271.15
1785263640,27954,27963.25,27942.5,27946.5,-1,0,0,0,0,3752,2352.4
1785263700,27947.25,27954,27937.75,27948.5,-1,0,0,0,0,2449,2321.15
1785263760,27949.25,27953.25,27935.5,27944,-1,0,0,0,0,2289,2330.05
1785263820,27944.25,27949,27939.75,27947.5,-1,0,0,0,0,1402,2269.35
1785263880,27948,27958,27942,27952,-1,0,0,0,0,1907,2288.85
1785263940,27951.5,27951.5,27930.25,27932,-1,0,0,0,0,2367,2298.6
1785264000,27932.5,27937.5,27922,27929.25,-1,0,0,0,0,2961,2302.1
1785264060,27930,27933.75,27924,27927.5,-1,0,0,0,0,1303,2231.55
1785264120,27927.5,27933.25,27920.25,27923.75,-1,0,0,0,0,1756,2220.2
1785264180,27924,27938.25,27921.75,27936,-1,0,0,0,0,1652,2172.65
1785264240,27936,27945.25,27926.75,27938.25,-1,0,0,0,0,2162,2218.95
1785264300,27937.75,27953,27928.75,27951.5,1,0,0,0,0,2277,2230.05
1785264360,27951.25,27971,27946.25,27969.5,1,0,0,0,0,3133,2315.8
1785264420,27969.25,27975.25,27960.75,27963.5,1,0,0,0,0,3176,2367.65
1785264480,27963.25,27967,27951.25,27952.75,1,0,0,0,0,1976,2349
1785264540,27953,27962.25,27948,27955.25,1,0,0,0,0,1675,2361.65
1785264600,27955.5,27970.75,27954.75,27967.25,1,0,0,0,0,2295,2295.4
1785264660,27966.5,27978,27962.5,27964.25,1,0,0,0,0,2415,2309.9
1785264720,27964,27969,27950,27952,1,0,0,0,0,2303,2339.7
1785264780,27952,27958,27943.75,27946.5,-1,0,0,0,0,2180,2271.5
1785264840,27946.5,27955.5,27944,27952.25,1,0,0,0,0,1797,2173.75
1785264900,27952,27967.5,27938.75,27964.5,1,0,0,0,0,2898,2196.2
1785264960,27964.75,27969.75,27959.25,27966.25,1,0,0,0,0,2314,2197.45
