time,open,high,low,close,EMA Direction (debug),Entry Arrow Long,Entry Arrow Short,Cancelled (Long side),Cancelled (Short side),EMA,Volume,Volume MA
1785363600,27477.25,27479.25,27451.75,27451.75,1,0,0,0,0,,1293,2138.25
1785363660,27452.75,27465.25,27445.25,27449.25,1,0,0,0,0,,1576,2100.4
1785363720,27449.25,27464,27446,27455.25,1,0,0,0,0,,923,2009.6
1785363780,27456.25,27470,27452,27465.25,1,0,0,0,0,,1066,1980.75
1785363840,27466,27466,27433,27437.5,1,0,0,0,0,,1852,1988.95
1785363900,27437.5,27446.75,27436.5,27440,1,0,0,0,0,,1553,1924.05
1785363960,27440.75,27442.75,27413.75,27417,1,0,0,0,0,,2536,1945.8
1785364020,27417,27424.75,27413,27419.5,1,0,0,0,0,,1735,1955.05
1785364080,27418.5,27425,27395.25,27405.5,1,0,0,0,0,,2590,1967.55
1785364140,27406.75,27440.75,27406.25,27434,1,0,0,0,0,27391.606425432947,2546,1961.8
1785364200,27434.5,27439.5,27412.75,27423,1,0,0,0,0,,1739,1885.1
1785364260,27423,27430.5,27416.5,27418.25,1,0,0,0,0,,1142,1771.65
1785364320,27418.25,27423,27414.25,27417.75,1,0,0,0,0,,661,1700.1
1785364380,27418,27439.25,27414.75,27437.5,1,0,0,0,0,,1452,1649.05
1785364440,27437.5,27442.75,27425.5,27431.75,1,0,0,0,0,,1256,1603.8
1785364500,27432,27444.75,27427.75,27443,1,0,0,0,0,,960,1587.7
1785364560,27442.75,27458.5,27439.25,27456,1,0,0,0,0,,2350,1609.1
1785364620,27454.5,27465.75,27450.75,27460,1,0,0,0,0,,1454,1625.45
1785364680,27459.5,27465,27459,27461.5,1,0,0,0,0,,801,1581.55
1785364740,27460.75,27462,27444,27447,1,0,0,0,0,,1187,1533.6
1785364800,27447,27453.5,27436.5,27442.5,1,0,0,0,0,,1316,1534.75
1785364860,27443.25,27449.25,27433.5,27442.5,1,0,0,0,0,,847,1498.3
1785364920,27444,27452.25,27440.25,27442.5,1,0,0,0,0,,881,1496.2
1785364980,27442.25,27447,27434.25,27443.25,1,0,0,0,0,,891,1487.45
1785365040,27443.25,27462.75,27442.5,27458.5,1,0,0,0,0,27413.904283621963,1368,1463.25
1785365100,27459.5,27478.5,27456.5,27477.5,1,0,0,0,0,,1846,1477.9
1785365160,27476.5,27477.25,27451.75,27454.75,1,0,0,0,0,,1710,1436.6
1785365220,27454.75,27459.25,27442.75,27443.25,1,0,0,0,0,,1006,1400.15
1785365280,27444.25,27450.75,27442,27446.25,1,0,0,0,0,,772,1309.25
1785365340,27446.5,27447.5,27439,27442.75,1,0,0,0,0,,548,1209.35
1785365400,27441.5,27462,27437,27443.5,1,0,0,0,0,,1628,1203.8
1785365460,27443.5,27450.25,27439,27444.5,1,0,0,0,0,,670,1180.2
1785365520,27444,27444,27428.75,27430.25,1,0,0,0,0,,1278,1211.05
1785365580,27429.5,27439,27420.5,27437.5,1,1,0,0,0,,1367,1206.8
1785365640,27437.5,27441,27428.25,27434.75,1,0,0,0,0,,800,1184
1785365700,27434,27438,27425,27432.75,1,0,0,0,0,,869,1179.45
1785365760,27433,27439,27430.5,27432.5,1,0,0,0,0,,514,1087.65
1785365820,27433.5,27439.5,27431,27436.75,1,0,0,0,0,,420,1035.95
1785365880,27437.5,27440.75,27433,27435,1,0,0,0,0,,455,1018.65
1785365940,27435,27452.75,27433.75,27450.5,1,0,0,0,0,27426.102855747977,1124,1015.5
1785366000,27450,27458,27444,27455.5,1,0,0,0,0,,1139,1006.65
1785366060,27455.5,27466,27455.5,27466,1,0,0,0,0,,1364,1032.5
1785366120,27466.25,27469.75,27460.25,27465,1,0,0,0,0,,1101,1043.5
1785366180,27466,27477,27464.5,27475.25,1,0,0,0,0,,1126,1055.25
1785366240,27475,27485.5,27472.25,27479.25,1,0,0,0,0,,1566,1065.15
1785366300,27478.25,27483,27473.75,27478.25,1,0,0,0,0,,1184,1032.05
1785366360,27478,27480.25,27471.25,27474.5,1,0,0,0,0,,1016,997.35
1785366420,27474.25,27478,27469.25,27471.5,1,0,0,0,0,,561,975.1
1785366480,27471.75,27521.5,27468.5,27520.25,1,0,0,0,0,,3409,1106.95
1785366540,27521,27524.75,27506,27508.25,1,0,0,0,0,,2089,1184
1785366600,27507.5,27508.5,27473.75,27478.75,1,0,0,0,0,,2222,1213.7
1785366660,27479.25,27482.25,27456,27472.5,1,1,0,0,0,,2620,1311.2
1785366720,27473.75,27495,27469.5,27490.25,1,0,0,0,0,,1492,1321.9
1785366780,27490,27493.75,27468.75,27473.25,1,0,0,0,0,,1599,1333.5
1785366840,27474.5,27480,27459.75,27478,1,0,0,0,0,27443.401903831986,1829,1384.95
1785366900,27478,27490.25,27473.75,27483.75,1,0,0,0,0,,1278,1405.4
1785366960,27484.25,27484.75,27472.5,27477.25,1,0,0,0,0,,766,1418
