time,open,high,low,close,TheStrat Label 1,TheStrat Label 2,TheStrat Label 3,2-1-2 BLR,2-1-2 BLC,3-1-2 BLR,3-2-2 BLR,Rev Strat 1-2-2 BLR,2-2 BLR,2-1-2 BRR,2-1-2 BRC,3-1-2 BRR,3-2-2 BRR,Rev Strat 1-2-2 BRR,2-2 BRR,Double Inside,PMG BLR,PMG BRR,Volume
1771902000,24869.5,24890.25,24822.75,24838,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56740
1771916400,24837.5,24869,24761,24841.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110946
1771930800,24842.25,24964.25,24694,24876.75,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467237
1771945200,24877.25,25080.75,24819.5,25029.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784726
1771959600,25029.75,25071.75,24988.25,25017,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,256201
1771974000,25020.5,25118,24992.25,25107.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102602
1771988400,25106.75,25110,24995,25041.25,1,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,83936
1772002800,25042.25,25094.25,25017.5,25073.5,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71935
1772017200,25073.75,25352,25068.25,25343.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361729
1772031600,25343,25361,25264.75,25350.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552587
1772046000,25350.75,25495,25349.5,25460.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,244955
1772060400,25398.75,25418.5,25264.75,25307.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145781
1772074800,25306.25,25344.5,25281.5,25327.5,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48022
1772089200,25327.25,25402,25326,25356.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79425
1772103600,25358,25415.5,25182.5,25193,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432972
1772118000,25193,25211,24862,25001.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172277
1772132400,25002,25099,24988.25,25028.75,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324579
1772146800,25026,25036.75,24954,25032,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130004
1772161200,25031.75,25060.5,24991.75,25031.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60319
1772175600,25033.75,25098.75,24966,25000.75,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117028
1772190000,25001,25012.5,24780,24880.5,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,539697
1772204400,24880.5,25036.75,24866.25,24902.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927559
1772218800,24902.5,25022.75,24873.5,24952.5,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358900
1772406000,24684.75,24901.25,24631,24821,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259427
1772420400,24820.5,24835.25,24534.5,24590.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153468
1772434800,24590.25,24685,24477,24657.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251202
1772449200,24657.75,24899,24594.5,24863,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468862
1772463600,24859.25,25076.5,24803,24971.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844148
1772478000,24972,25100,24947,24997.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,383959
1772492400,25002.75,25011.25,24808.25,24861.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163277
1772506800,24861,24884.75,24737.25,24753.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146363
1772521200,24753.5,24768,24392.75,24452.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354404
1772535600,24450.75,24661,24369.5,24489.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673028
1772550000,24489.5,24835,24350.75,24800,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1133515
1772564400,24799.75,24850.25,24693,24711.5,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,383428
1772578800,24711.5,24804.25,24588.75,24636.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233845
1772593200,24636.25,24644.75,24498.5,24571.5,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,188288
1772607600,24570.25,24866,24535.75,24842.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198290
1772622000,24842.5,24970.5,24720,24921,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460573
1772636400,24922.5,25215,24890.25,25192.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857216
1772650800,25192.5,25217,25093.75,25137.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268754
1772665200,25154.5,25243,25044,25091,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189270
