time,open,high,low,close,Volume,Volume MA,EMA Direction (debug),HTF EMA Value (debug),Order Sent Long,Order Sent Short
1785756840,28503,28507,28501.75,28506,362,825.9,1,28502.709116755457,0,0
1785756900,28505.25,28513.5,28501,28501.75,927,843.2,-1,28502.709116755457,0,0
1785756960,28501.75,28506.5,28496,28496.75,809,836.3,-1,28502.709116755457,0,0
1785757020,28496.75,28501.5,28490.25,28491,729,826.4,-1,28502.709116755457,0,0
1785757080,28490.75,28495.5,28461.5,28464,1770,863.45,-1,28502.709116755457,0,0
1785757140,28464.25,28469.25,28457.25,28459.75,1365,904.9,-1,28502.709116755457,0,0
1785757200,28459.25,28461.75,28450.5,28453.25,1248,932.55,-1,28502.709116755457,0,0
1785757260,28452.75,28459.75,28450.5,28458.5,997,937.7,-1,28502.709116755457,0,0
1785757320,28457.75,28462,28453.5,28460,636,920.05,-1,28502.709116755457,0,0
1785757380,28459,28462,28453,28459.25,548,924.1,-1,28502.709116755457,0,0
1785757440,28458.75,28477,28458,28475,1396,975.75,-1,28502.709116755457,0,0
1785757500,28474.5,28477.5,28460.25,28469.5,914,969.35,-1,28493.472744503637,0,0
1785757560,28471,28473.25,28464.25,28470.25,722,955.75,-1,28493.472744503637,0,0
1785757620,28469.75,28472.25,28460.75,28464,648,944.9,-1,28493.472744503637,0,0
1785757680,28464.75,28466.25,28442.5,28446,1819,1006.2,-1,28493.472744503637,0,0
1785757740,28445.5,28461.75,28445.5,28457.75,1501,1047.4,-1,28493.472744503637,0,0
1785757800,28457.5,28457.5,28436,28436,1663,1034.25,-1,28493.472744503637,0,0
1785757860,28436,28439,28423.75,28428.25,1570,1058.05,-1,28493.472744503637,0,0
1785757920,28428,28431,28419.25,28424.25,1190,1071.3,-1,28493.472744503637,0,0
1785757980,28424.25,28426.5,28410,28419.75,1557,1118.55,-1,28493.472744503637,0,0
1785758040,28419.25,28422,28410.25,28412.75,1019,1151.4,-1,28493.472744503637,0,0
1785758100,28411.75,28415.75,28406.75,28406.75,1177,1163.9,-1,28493.472744503637,0,0
1785758160,28406.5,28416.25,28403.5,28413.5,1206,1183.75,-1,28493.472744503637,0,0
1785758220,28413.5,28417.75,28405,28416.25,924,1193.5,-1,28493.472744503637,0,0
1785758280,28417,28418.25,28406.75,28416.5,1172,1163.6,-1,28493.472744503637,0,0
1785758340,28416.75,28423,28409,28420,1203,1155.5,-1,28493.472744503637,0,0
1785758400,28419.5,28420.75,28401,28403.75,1917,1188.95,-1,28468.98182966909,0,0
1785758460,28402.75,28404.5,28391,28397.75,1674,1222.8,-1,28468.98182966909,0,0
1785758520,28397.75,28405,28393.75,28401,1214,1251.7,-1,28468.98182966909,0,0
1785758580,28401.5,28403,28391,28394,1344,1291.5,-1,28468.98182966909,0,0
1785758640,28395.25,28409,28389.25,28395.75,1740,1308.7,-1,28468.98182966909,0,0
1785758700,28395.5,28401.5,28388,28390.25,1110,1318.5,-1,28468.98182966909,0,0
1785758760,28390.75,28392.75,28382.75,28385.75,1439,1354.35,-1,28468.98182966909,0,0
1785758820,28386.25,28398.25,28384,28398,1108,1377.35,-1,28468.98182966909,0,0
1785758880,28398,28414.5,28392,28413.5,2129,1392.85,-1,28468.98182966909,0,0
1785758940,28413.5,28419,28410.25,28416.5,1455,1390.55,-1,28468.98182966909,0,0
1785759000,28416.75,28418,28406.25,28413.75,1449,1379.85,-1,28468.98182966909,0,0
1785759060,28414.25,28415.5,28406.5,28410.25,745,1338.6,-1,28468.98182966909,0,0
1785759120,28409.5,28418.75,28408.75,28415.75,925,1325.35,-1,28468.98182966909,0,0
1785759180,28415.25,28433.5,28413.75,28432,1932,1344.1,-1,28468.98182966909,0,0
1785759240,28432.75,28435.75,28428,28435.5,1103,1348.3,-1,28468.98182966909,0,0
1785759300,28435.75,28447,28431.75,28443,1522,1365.55,-1,28457.821219779395,0,0
1785759360,28444,28447.5,28425.25,28426.25,1381,1374.3,-1,28457.821219779395,0,0
1785759420,28426.5,28438.25,28426,28438.25,1226,1389.4,-1,28457.821219779395,0,0
1785759480,28437.5,28441.25,28433.5,28439,761,1368.85,-1,28457.821219779395,0,0
1785759540,28439,28442,28425.5,28440.25,1433,1380.35,-1,28457.821219779395,0,0
1785759600,28440.25,28447.75,28434,28447.75,936,1331.3,-1,28457.821219779395,0,0
1785759660,28447.75,28457.75,28443.25,28453.75,1564,1325.8,-1,28457.821219779395,0,0
1785759720,28453.75,28456.75,28444.25,28448.75,1122,1321.2,-1,28457.821219779395,0,0
1785759780,28448.5,28450,28435.25,28436.5,1142,1311.1,-1,28457.821219779395,0,0
1785759840,28436.75,28440.5,28432,28434.25,994,1273.8,-1,28457.821219779395,0,0
1785759900,28434.5,28444.25,28434,28442.5,775,1257.05,-1,28457.821219779395,0,0
1785759960,28443,28449.5,28438,28438.5,958,1233,-1,28457.821219779395,0,0
1785760020,28438.75,28450,28421.5,28450,2320,1293.6,-1,28457.821219779395,0,0
1785760080,28449.75,28460.25,28447,28457.75,1414,1257.85,-1,28457.821219779395,0,0
1785760140,28457.75,28462,28448.75,28449.75,975,1233.85,-1,28457.821219779395,0,0
1785760200,28450,28462,28449.5,28455.75,1014,1212.1,1,28455.130813186264,0,0
1785760260,28455.25,28463.25,28452.25,28458,898,1219.75,1,28455.130813186264,0,0
1785760320,28457.25,28460.5,28447.75,28447.75,1027,1224.85,-1,28455.130813186264,0,0
1785760380,28447.75,28452,28441.5,28444.75,1219,1189.2,-1,28455.130813186264,0,0
1785760440,28445.75,28455,28440.5,28454.25,874,1177.75,-1,28455.130813186264,0,0
1785760500,28453.75,28456.25,28443,28448.75,1038,1153.55,-1,28455.130813186264,0,0
1785760560,28449.25,28453,28442.75,28450.5,1003,1134.65,-1,28455.130813186264,0,0
1785760620,28450.25,28453,28446.25,28449.25,506,1098.65,-1,28455.130813186264,0,0
1785760680,28449.25,28452.75,28441.25,28444.25,915,1106.35,-1,28455.130813186264,0,0
1785760740,28444.25,28454.25,28440,28446.75,998,1084.6,-1,28455.130813186264,0,0
1785760800,28447,28456.5,28437.25,28448.75,1557,1115.65,-1,28455.130813186264,0,0
1785760860,28449,28466.5,28449,28460.75,1350,1104.95,1,28455.130813186264,0,0
1785760920,28461,28469,28458.25,28464.75,1125,1105.1,1,28455.130813186264,0,0
1785760980,28464.75,28478.75,28464.5,28475.25,1736,1134.8,1,28455.130813186264,0,0
1785761040,28475.5,28487.75,28474.25,28487.5,1439,1157.05,1,28455.130813186264,0,0
1785761100,28487.5,28491.5,28482,28485,1518,1194.2,1,28465.920542124175,0,0
1785761160,28484.75,28487.75,28478.25,28480.25,1144,1203.5,1,28465.920542124175,0,0
1785761220,28479.75,28479.75,28462.25,28468.75,1917,1183.35,1,28465.920542124175,0,0
1785761280,28468.75,28469.5,28456,28459.75,1465,1185.9,-1,28465.920542124175,0,0
1785761340,28459.75,28462.5,28454.25,28458.5,1366,1205.45,-1,28465.920542124175,0,0
1785761400,28458,28460.25,28449,28450.5,1464,1227.95,-1,28465.920542124175,0,0
1785761460,28450,28469.25,28441,28466.25,2126,1289.35,1,28465.920542124175,0,0
1785761520,28466.25,28467.25,28460.5,28462.5,898,1282.9,-1,28465.920542124175,0,0
1785761580,28462.25,28468.75,28452.5,28465,1254,1284.65,-1,28465.920542124175,0,0
