time,open,high,low,close,EMA Direction (debug),Order Sent Long,Order Sent Short,Cancelled (Long side),Cancelled (Short side),EMA,Volume,Volume MA
1785379920,27592.75,27595.5,27579,27581.5,-1,0,1,0,0,,1138,1300.65
1785379980,27582.5,27590,27578.25,27589,-1,0,0,0,0,,890,1293.1
1785380040,27589.75,27598.5,27578.5,27591,-1,0,0,0,0,,980,1285.25
1785380100,27589.75,27605,27589.75,27601,-1,0,0,0,0,,913,1245.2
1785380160,27601.75,27604.5,27573,27574.75,-1,0,0,0,0,,1440,1246.55
1785380220,27574.25,27574.75,27557.5,27560,-1,0,0,0,0,,1699,1278.5
1785380280,27560.5,27560.5,27541.75,27544.5,-1,0,0,0,0,,2171,1347.1
1785380340,27544.25,27546.5,27539,27540.75,-1,0,0,0,0,27592.75084376355,1274,1379.25
1785380400,27541.5,27549,27536,27539.5,-1,0,0,0,0,,1550,1407.85
1785380460,27539.5,27558.75,27539,27557.75,-1,0,0,0,0,,1345,1378.3
1785380520,27558,27577.25,27555.25,27572,-1,0,0,0,0,,1405,1361.25
1785380580,27571.75,27573.5,27548.75,27551.5,-1,0,0,0,0,,1267,1348.75
1785380640,27552.25,27561,27547.25,27559.75,-1,0,0,0,0,,900,1324.2
1785380700,27559.25,27566.75,27550.5,27558,-1,0,0,0,0,,845,1285.2
1785380760,27560.25,27567.75,27555.25,27565.25,-1,0,0,0,0,,567,1263.95
1785380820,27565.75,27568.25,27546.25,27551.5,-1,0,0,0,0,,947,1267.4
1785380880,27552.25,27552.25,27531.5,27534.5,-1,0,0,0,0,,1281,1230.2
1785380940,27533.5,27534.75,27516.75,27519.25,-1,0,0,0,0,,1799,1230.05
1785381000,27519.5,27522,27511.75,27512.25,-1,0,0,0,0,,1379,1254.7
1785381060,27512.5,27519.25,27505,27507.75,-1,0,0,0,0,,1574,1268.2
1785381120,27508.25,27508.75,27488,27493,-1,0,0,0,0,,1920,1307.3
1785381180,27493.5,27500.5,27486,27500.5,-1,0,0,0,0,,1551,1340.35
1785381240,27500.25,27504,27493.5,27498.25,-1,0,0,0,0,27561.250562509034,832,1332.95
1785381300,27498.75,27499.5,27483.25,27490.5,-1,0,1,0,0,,1199,1347.25
1785381360,27489.75,27502.5,27482.25,27500.75,-1,0,0,0,0,,1155,1333
1785381420,27501,27506.75,27489.25,27494.5,-1,0,0,0,0,,1108,1303.45
1785381480,27493.75,27498,27490.25,27491,-1,0,0,0,0,,558,1222.8
1785381540,27491,27491,27471.5,27485.25,-1,0,0,0,0,,1874,1252.8
1785381600,27485.5,27494.5,27478.75,27489.25,-1,0,0,0,0,,1216,1236.1
1785381660,27489.5,27493.75,27474,27488.5,-1,0,0,0,0,,1022,1219.95
1785381720,27489,27490.5,27477,27478.25,-1,0,0,0,0,,767,1188.05
1785381780,27477.75,27491,27474.5,27486.75,-1,0,0,0,0,,1192,1184.3
1785381840,27487.5,27494.25,27482.75,27493.75,-1,0,0,0,0,,872,1182.9
1785381900,27494,27505,27488.5,27498.75,-1,0,0,0,0,,1279,1204.6
1785381960,27498.75,27506.75,27486.75,27506.5,-1,0,0,0,0,,1006,1226.55
1785382020,27505.75,27519.75,27501,27513.75,-1,0,0,0,0,,1453,1251.85
1785382080,27513.5,27524.25,27508.75,27518.75,-1,0,0,0,0,,1166,1246.1
1785382140,27518.5,27523,27513.5,27515.5,-1,0,0,0,0,27546.000375006024,619,1187.1
1785382200,27516,27519,27480.5,27499.5,-1,0,0,0,0,,2359,1236.1
1785382260,27500,27507,27490.5,27504.25,-1,0,0,0,0,,1239,1219.35
