time,open,high,low,close,TheStrat Label 1,TheStrat Label 2,TheStrat Label 3,2-1-2 BLR,2-1-2 BLC,3-1-2 BLR,3-2-2 BLR,Rev Strat 1-2-2 BLR,2-2 BLR,2-1-2 BRR,2-1-2 BRC,3-1-2 BRR,3-2-2 BRR,Rev Strat 1-2-2 BRR,2-2 BRR,Double Inside,PMG BLR,PMG BRR,Volume
1768869000,25331.75,25404.5,25329.25,25399.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12731
1768869900,25399.25,25404,25350,25361.25,1,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8007
1768870800,25361.25,25398.25,25360.75,25394.25,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12991
1768871700,25394.5,25423.25,25387.5,25420,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9431
1768872600,25420,25427,25413.5,25417.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5406
1768873500,25417.25,25432.25,25413.75,25420.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5263
1768874400,25420,25435,25412,25416.5,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6128
1768875300,25416.25,25418.25,25391.5,25407.25,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7744
1768876200,25408,25432.75,25408,25429.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6116
1768877100,25429,25438.75,25423.5,25423.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4298
1768878000,25424.25,25431.5,25412.5,25426.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4361
1768878900,25426.5,25430.5,25413.25,25417.5,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3640
1768879800,25417.75,25420.5,25405.5,25407.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3873
1768880700,25407.75,25420.25,25403.25,25409.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3605
1768881600,25410.25,25412,25393.75,25398.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3645
1768882500,25397.75,25404.5,25391.25,25403,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2776
1768883400,25402.75,25410.5,25391.5,25392.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3279
1768884300,25393.5,25400.25,25370,25381,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5263
1768885200,25380.5,25392.75,25367,25383.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5740
1768886100,25384.25,25412.75,25374.75,25407.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4507
1768887000,25407,25412.25,25380.25,25385.5,1,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4641
1768887900,25385.25,25399.5,25381.75,25382.75,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4285
1768888800,25382.75,25390.25,25344.75,25352.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8041
1768889700,25353,25353,25292.75,25303.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13486
1768890600,25303.25,25315.5,25269.5,25293,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15447
1768891500,25293,25314,25259.75,25311,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13105
1768892400,25310.75,25320.5,25287.25,25287.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11148
1768893300,25288.25,25301.5,25256.5,25297.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10898
1768894200,25296.75,25301.25,25272.5,25272.75,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6589
1768895100,25272.75,25294.75,25257.75,25283.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8273
1768896000,25283.75,25288.75,25227.75,25259.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20661
1768896900,25259.75,25265.5,25225,25237.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14307
1768897800,25236.25,25236.75,25166.75,25201.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22957
1768898700,25202.75,25226.5,25193,25201,1,,,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,13901
1768899600,25201.5,25220.75,25167.75,25177,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17518
1768900500,25176,25184.75,25130,25143.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19235
1768901400,25143.5,25144.5,25100.25,25127.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18166
1768902300,25127.25,25139.5,25095.25,25134.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12650
1768903200,25134.5,25168.5,25106.75,25163.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11557
1768904100,25163.75,25207.75,25162,25196,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14609
1768905000,25196.5,25204.25,25166.5,25188,1,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9869
1768905900,25188,25198.75,25173.5,25175.25,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6649
1768906800,25175,25210.75,25173,25198.25,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8705
1768907700,25198.25,25228.5,25174,25201.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12554
1768908600,25200.75,25205.5,25175.25,25194,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8190
1768909500,25194,25221,25180.5,25205.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8147
1768910400,25205,25254,25191.75,25247.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14059
1768911300,25246.5,25255.25,25212.5,25234.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14842
1768912200,25233.5,25275.5,25227.5,25271.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11623
1768913100,25272,25283.75,25250.75,25258,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14210
1768914000,25258,25274.5,25222.75,25226.25,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15339
1768914900,25226.75,25277.5,25222.75,25247,0,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16523
1768915800,25247.75,25251.5,25181.5,25213,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46525
1768916700,25213.25,25236.25,25204,25212.5,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22714
1768917600,25212.25,25244,25206.25,25234.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22526
1768918500,25234.75,25253.5,25201.25,25242.5,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29364
1768919400,25242.5,25357.25,25232.5,25333.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154503
1768920300,25334.25,25369,25267.5,25323,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113276
1768921200,25322.75,25335,25260.75,25284.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90843
1768922100,25284.5,25364,25254,25361.75,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103589
1768923000,25361.5,25417.75,25348,25388.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,87609
1768923900,25388.75,25393,25313.25,25363.25,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,81767
1768924800,25363,25428.25,25358.25,25399.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74700
1768925700,25399.25,25407.25,25333.5,25403.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63308
1768926600,25404.25,25430,25351,25354,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59271
1768927500,25353.75,25414,25335.5,25399,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73737
1768928400,25398.5,25407.25,25345,25360.75,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54806
1768929300,25360.75,25371.25,25326.25,25339.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45143
1768930200,25338.75,25339,25291.25,25292.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57945
1768931100,25292.25,25302.25,25255,25292.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53072
1768932000,25293,25311.25,25274.25,25284.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33779
1768932900,25284.25,25287.75,25243,25247.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30839
1768933800,25247,25256.5,25201.75,25210,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48285
1768934700,25209.25,25221,25170.75,25199.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50393
1768935600,25199.25,25225.25,25178.5,25193.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39325
1768936500,25193.5,25194,25149.25,25161.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38567
1768937400,25161,25179.75,25128,25149.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51117
1768938300,25149.25,25177.75,25141.25,25169.5,1,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33848
1768939200,25169.5,25169.5,25116.75,25121.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36354
1768940100,25121.75,25169.75,25115.25,25128.75,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52283
1768941000,25129.5,25143.25,25104,25120.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43075
1768941900,25120.5,25144.25,25099,25142.75,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59602
1768942800,25143,25167,25127.25,25162.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22583
1768943700,25163,25166,25134.5,25143.75,1,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6986
1768944600,25143.5,25144,25122.5,25133.25,0,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5827
1768945500,25133.75,25146.25,25131.25,25143.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3775
1768950000,25147,25175.5,25138.25,25159,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9673
1768950900,25159.25,25162.75,25149.75,25154.75,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3605
1768951800,25154.75,25164.25,25150.5,25161.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2738
1768952700,25161.25,25161.5,25103.5,25116.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11395
1768953600,25116.75,25150.25,25115.5,25141.5,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021
1768954500,25141.25,25159,25132.5,25157.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5817
1768955400,25157,25183,25154.5,25173.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7344
1768956300,25173.25,25186,25171,25178.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5587
1768957200,25179,25202.5,25178.5,25201.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6339
1768958100,25201.75,25217.5,25197,25211,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6699
1768959000,25211.25,25218.75,25197.25,25212.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6703
1768959900,25213.25,25216,25201,25201.75,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4476
1768960800,25202,25209.75,25193.25,25207.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4996
1768961700,25207.5,25209,25177.75,25178,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7398
1768962600,25178.5,25191.5,25168,25187.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7282
1768963500,25187.25,25190,25178.5,25180,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2890
