time,open,high,low,close,EMA,Volume,Volume MA,EMA Direction (debug),Order Sent Long,Order Sent Short,Cancelled (Long side),Cancelled (Short side)
1784814000,28797.25,28824.25,28796.5,28813.5,,12435,8801.5,1,0,0,0,0
1784814060,28813.25,28832.25,28808.75,28828.75,,10582,9233.35,1,0,0,0,0
1784814120,28828.75,28867.25,28819.25,28865,,12353,9763.25,1,0,0,0,0
1784814180,28865.75,28883.75,28862.75,28872.5,,10534,10183.2,1,0,0,0,0
1784814240,28872.75,28878.5,28851.25,28856,28805.327472041085,9986,10540.75,1,0,0,0,0
1784814300,28856,28868.25,28823.25,28853.5,,14108,11080.1,1,0,0,0,0
1784814360,28853.5,28858,28820,28846.5,,10652,11507.25,1,0,0,0,0
1784814420,28846.75,28850,28824.25,28825.75,,7487,11763.4,1,0,0,0,0
1784814480,28825.75,28833.25,28792,28796,,13236,12293.9,1,0,0,0,0
1784814540,28796.25,28805.25,28748.5,28760.5,,14672,12868.05,-1,0,0,0,0
1784814600,28760,28787.5,28751.25,28776.25,,12874,12514.65,-1,0,0,0,0
1784814660,28776.25,28784.25,28725.5,28729.5,,12672,12352.05,-1,0,1,0,0
1784814720,28730,28748.5,28717.25,28745.5,,12692,12233.5,-1,0,0,0,0
1784814780,28745.5,28775.75,28733.25,28770.25,,12147,12066.05,-1,0,0,0,0
1784814840,28769.75,28819.75,28767.25,28816,,14950,12235.45,1,0,0,0,1
1784814900,28816,28835.75,28794.75,28796.75,,13200,12239.55,1,0,0,0,0
1784814960,28797,28800.75,28761,28762.25,,12275,12133.95,-1,0,0,0,0
1784815020,28762.25,28764.75,28726,28732.5,,11919,12090.55,-1,0,0,0,0
1784815080,28732.25,28732.5,28696,28725.75,,13228,12091.85,-1,0,0,0,0
1784815140,28726.25,28736.5,28705.25,28707.5,28772.718314694055,8419,12021.05,-1,0,0,0,0
1784815200,28708.5,28769.25,28707,28747.25,,14348,12116.7,-1,0,0,0,0
1784815260,28747.5,28750.5,28709.5,28713,,11351,12155.15,-1,0,0,0,0
1784815320,28713.5,28734.5,28708,28727.5,,9089,11991.95,-1,0,0,0,0
1784815380,28727.5,28741.75,28717,28727.25,,8218,11876.15,-1,0,0,0,0
1784815440,28727.75,28767,28723.5,28749,,10365,11895.1,-1,0,0,0,0
1784815500,28749,28794,28738.5,28791.25,,12343,11806.85,-1,0,0,0,0
1784815560,28791.5,28801.75,28773.25,28775.75,,11420,11845.25,-1,0,0,0,0
1784815620,28776.25,28792.75,28762.75,28778.5,,9853,11963.55,-1,0,0,0,0
1784815680,28778.5,28799.25,28708,28713.25,,15194,12061.45,-1,0,0,0,0
1784815740,28713.5,28719.5,28678,28717.25,,16131,12134.4,-1,0,0,0,0
1784815800,28716.5,28756,28714,28724.75,,14014,12191.4,-1,0,0,0,0
1784815860,28724.75,28741.25,28694.25,28737.5,,11220,12118.8,-1,0,1,0,0
1784815920,28737.5,28763.75,28727.25,28756,,11282,12048.3,-1,0,0,0,0
1784815980,28755.75,28771,28736.5,28744,,9116,11896.75,-1,0,0,0,0
1784816040,28744,28761.25,28695,28704.5,28749.978876462705,11511,11724.8,-1,0,0,0,0
1784816100,28703.75,28729,28688,28696.25,,9765,11553.05,-1,0,0,0,0
1784816160,28696.25,28722.25,28686.75,28715.75,,8472,11362.9,-1,0,1,0,0
1784816220,28715.25,28733,28698,28729.5,,8163,11175.1,-1,0,0,0,0
1784816280,28728.75,28743.25,28715.25,28717.25,,6846,10856,-1,0,0,0,0
1784816340,28718,28722.25,28698.25,28704,,6403,10755.2,-1,0,0,0,0
1784816400,28704.75,28728.75,28695.75,28707.75,,5796,10327.6,-1,0,0,0,0
1784816460,28707,28755.5,28701.25,28752.75,,7033,10111.7,-1,0,0,0,0
1784816520,28752.25,28780,28745.5,28762.5,,9510,10132.75,-1,0,0,0,0
1784816580,28762.25,28769,28730.5,28735,,7531,10098.4,-1,0,0,0,0
1784816640,28735.5,28739.75,28689,28708.5,,10287,10094.5,-1,0,0,0,0
1784816700,28708,28742.75,28695.75,28735.5,,7752,9864.95,-1,0,0,0,0
1784816760,28735.25,28737.5,28694.25,28714.75,,7408,9664.35,-1,0,0,0,0
1784816820,28715.5,28720,28695.75,28711.75,,5305,9436.95,-1,0,0,0,0
1784816880,28711.25,28738,28701.25,28702.5,,6944,9024.45,-1,0,0,0,0
1784816940,28702.25,28745.75,28700.25,28732.5,28744.15258430847,5612,8498.5,-1,0,0,0,0
1784817000,28732,28748,28717.25,28730.5,,8620,8228.8,-1,0,0,0,0
1784817060,28730.25,28752,28710.75,28717.25,,7284,8032,-1,0,0,0,0
1784817120,28716.75,28720.75,28675,28683,,10033,7969.55,-1,0,0,0,0
1784817180,28683,28694.75,28642.75,28649.25,,12905,8159,-1,0,0,0,0
1784817240,28649.5,28680,28640,28670.25,,9589,8062.9,-1,0,0,0,0
1784817300,28670.25,28678.5,28646.25,28654,,8787,8014,-1,0,0,0,0
1784817360,28654.25,28676.5,28651.25,28666.75,,6381,7909.45,-1,0,0,0,0
1784817420,28666.75,28760.75,28666.75,28758.25,,17985,8400.55,1,0,0,0,0
1784817480,28758.25,28762.25,28723.75,28735,,12170,8666.75,-1,0,0,0,0
1784817540,28734.5,28764.75,28730,28755,,9554,8824.3,1,1,0,0,0
1784817600,28755,28773.25,28727.25,28728.75,,10933,9081.15,-1,0,0,1,0
1784817660,28729.5,28738,28681,28688,,12666,9362.8,-1,0,0,0,0
1784817720,28688,28701.25,28652,28666,,11694,9472,-1,0,0,0,0
1784817780,28666,28673.25,28625,28643,,12626,9726.75,-1,0,0,0,0
1784817840,28643.5,28655.5,28627,28644.75,28711.018389538982,8075,9616.15,-1,0,0,0,0
1784817900,28644.25,28660,28630.75,28632,,9835,9720.3,-1,0,0,0,0
1784817960,28633,28661.75,28627,28653.5,,8213,9760.55,-1,0,0,0,0
1784818020,28653.5,28671,28647,28650.25,,9992,9994.9,-1,0,0,0,0
1784818080,28650.5,28650.5,28626.75,28634.5,,7922,10043.8,-1,0,0,0,0
1784818140,28634.75,28645.75,28617.25,28630.25,,8068,10166.6,-1,0,0,0,0
1784818200,28630.25,28646.5,28609.75,28613.5,,9052,10188.2,-1,0,1,0,0
1784818260,28614,28616.5,28587.5,28592.75,,9706,10309.3,-1,0,0,0,0
1784818320,28593,28619.75,28586.75,28612.75,,8422,10228.75,-1,0,0,0,0
1784818380,28612.25,28612.75,28586.25,28589.25,,5956,9881.3,-1,0,0,0,0
1784818440,28589,28595.75,28578.5,28582,,6198,9711.75,-1,0,0,0,0
1784818500,28582.25,28599,28577.5,28578,,7036,9624.2,-1,0,0,0,0
1784818560,28578.5,28608.25,28578,28606.75,,6394,9624.85,-1,0,0,0,0
1784818620,28606.75,28618.75,28599.75,28613.5,,7135,9082.35,-1,0,0,0,0
1784818680,28614,28615.25,28592.25,28595.25,,5893,8768.5,-1,0,0,0,0
1784818740,28595.25,28615,28589.25,28597,28673.012259692656,5133,8547.45,-1,0,0,0,0
1784818800,28597,28605,28583.75,28587.5,,7399,8370.75,-1,0,0,0,0
1784818860,28586.75,28590.25,28567,28577.25,,7705,8122.7,-1,0,0,0,0
1784818920,28577.75,28590.75,28570,28571.25,,5376,7806.8,-1,0,0,0,0
1784818980,28571.25,28588,28568.25,28573.25,,4973,7424.15,-1,0,0,0,0
1784819040,28573,28573,28558,28568.25,,5654,7303.1,-1,0,0,0,0
