time,open,high,low,close,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status
1720735200,57610,58800,56690,57755,-5.813763861709067,-5.813763861709067,1.6366036075670918,1.6366036075670918,0.2516924145113696,0.2516924145113696,0.2516924145113696,0.2516924145113696,0.2516924145113696,0.2516924145113696,0.2516924145113696,0.2516924145113696,,
1720994400,60845,64190,60810,64025,4.411285061969993,4.411285061969993,5.226394937957104,5.226394937957104,5.226394937957104,5.226394937957104,5.226394937957104,5.226394937957104,5.226394937957104,5.226394937957104,5.226394937957104,5.226394937957104,,
1721080800,63865,65490,62615,64965,5.944227005870841,5.944227005870841,6.7713041334538575,6.7713041334538575,1.7223831519611683,1.7223831519611683,1.7223831519611683,1.7223831519611683,1.7223831519611683,1.7223831519611683,1.7223831519611683,1.7223831519611683,,
1721167200,64830,66320,64030,64710,5.528375733855186,5.528375733855186,6.352206426164845,6.352206426164845,-0.18509949097639983,-0.18509949097639983,-0.18509949097639983,-0.18509949097639983,-0.18509949097639983,-0.18509949097639983,-0.18509949097639983,-0.18509949097639983,,
1721253600,64700,65365,63355,63995,4.362361382909328,4.362361382909328,5.177089325334867,5.177089325334867,-1.089644513137558,-1.089644513137558,-1.089644513137558,-1.089644513137558,-1.089644513137558,-1.089644513137558,-1.089644513137558,-1.089644513137558,,
1721340000,64070,67740,63425,67250,9.67058056099152,9.67058056099152,10.526748294847565,10.526748294847565,4.963321367254565,4.963321367254565,4.963321367254565,4.963321367254565,4.963321367254565,4.963321367254565,4.963321367254565,4.963321367254565,,
1721599200,68450,68665,66610,68225,11.260600130463144,11.260600130463144,-0.3287070854638422,-0.3287070854638422,-0.3287070854638422,-0.3287070854638422,-0.3287070854638422,-0.3287070854638422,-0.3287070854638422,-0.3287070854638422,-0.3287070854638422,-0.3287070854638422,,
1721685600,68035,68035,65505,65910,7.4853228962818,7.4853228962818,-3.7107377647918187,-3.7107377647918187,-3.1233923715734546,-3.1233923715734546,-3.1233923715734546,-3.1233923715734546,-3.1233923715734546,-3.1233923715734546,-3.1233923715734546,-3.1233923715734546,,
1721772000,65900,67230,65540,66090,7.778864970645792,7.778864970645792,-3.4477720964207452,-3.4477720964207452,0.2883156297420334,0.2883156297420334,0.2883156297420334,0.2883156297420334,0.2883156297420334,0.2883156297420334,0.2883156297420334,0.2883156297420334,,
1721858400,66375,66430,64080,65940,7.534246575342466,7.534246575342466,-3.66691015339664,-3.66691015339664,-0.6553672316384181,-0.6553672316384181,-0.6553672316384181,-0.6553672316384181,-0.6553672316384181,-0.6553672316384181,-0.6553672316384181,-0.6553672316384181,,
1721944800,66195,68985,66195,68185,11.195368558382256,11.195368558382256,-0.38714390065741416,-0.38714390065741416,3.0062693556915177,3.0062693556915177,3.0062693556915177,3.0062693556915177,3.0062693556915177,3.0062693556915177,3.0062693556915177,3.0062693556915177,,
1722204000,68735,70825,67010,68000,10.893672537508154,10.893672537508154,-1.0693242161926237,-1.0693242161926237,-1.0693242161926237,-1.0693242161926237,-1.0693242161926237,-1.0693242161926237,-1.0693242161926237,-1.0693242161926237,-1.0693242161926237,-1.0693242161926237,,
1722290400,68005,68110,65810,66745,8.84703196347032,8.84703196347032,-2.8951771295555395,-2.8951771295555395,-1.8528049408131755,-1.8528049408131755,-1.8528049408131755,-1.8528049408131755,-1.8528049408131755,-1.8528049408131755,-1.8528049408131755,-1.8528049408131755,,
1722376800,66740,67355,65000,65095,6.156229615133724,6.156229615133724,-5.295700880192042,-5.295700880192042,-2.464788732394366,-2.464788732394366,-2.464788732394366,-2.464788732394366,-2.464788732394366,-2.464788732394366,-2.464788732394366,-2.464788732394366,,
1722463200,65240,65530,62625,65150,-0.13795217657878603,-0.13795217657878603,-5.215683421837492,-5.215683421837492,-0.13795217657878603,-0.13795217657878603,-0.13795217657878603,-0.13795217657878603,-0.13795217657878603,-0.13795217657878603,-0.13795217657878603,-0.13795217657878603,,
1722549600,65165,66045,62415,62920,-3.5561005518087065,-3.5561005518087065,-8.460027642394705,-8.460027642394705,-3.445100897721169,-3.445100897721169,-3.445100897721169,-3.445100897721169,-3.445100897721169,-3.445100897721169,-3.445100897721169,-3.445100897721169,,
1722808800,58995,59485,49340,54655,-16.22470876762722,-16.22470876762722,-7.3565556403085015,-7.3565556403085015,-7.3565556403085015,-7.3565556403085015,-7.3565556403085015,-7.3565556403085015,-7.3565556403085015,-7.3565556403085015,-7.3565556403085015,-7.3565556403085015,,
1722895200,54645,57410,54235,56890,-12.798896382587369,-12.798896382587369,-3.5680989914399523,-3.5680989914399523,4.108335620825327,4.108335620825327,4.108335620825327,4.108335620825327,4.108335620825327,4.108335620825327,4.108335620825327,4.108335620825327,,
1722981600,56650,58065,54845,55360,-15.144083384426732,-15.144083384426732,-6.161539113484194,-6.161539113484194,-2.2771403353927626,-2.2771403353927626,-2.2771403353927626,-2.2771403353927626,-2.2771403353927626,-2.2771403353927626,-2.2771403353927626,-2.2771403353927626,,
1723068000,55310,60240,54765,59835,-8.284794604537094,-8.284794604537094,1.4238494787693874,1.4238494787693874,8.181160730428495,8.181160730428495,8.181160730428495,8.181160730428495,8.181160730428495,8.181160730428495,8.181160730428495,8.181160730428495,,
1723154400,60655,63000,59795,61080,-6.376456161863888,-6.376456161863888,3.5341978133740146,3.5341978133740146,0.7006841975105103,0.7006841975105103,0.7006841975105103,0.7006841975105103,0.7006841975105103,0.7006841975105103,0.7006841975105103,0.7006841975105103,,
1723413600,59400,60955,57955,59085,-9.434396076026976,-9.434396076026976,-0.5303030303030304,-0.5303030303030304,-0.5303030303030304,-0.5303030303030304,-0.5303030303030304,-0.5303030303030304,-0.5303030303030304,-0.5303030303030304,-0.5303030303030304,-0.5303030303030304,,
1723500000,59260,61875,58620,60810,-6.790312691600245,-6.790312691600245,2.3737373737373737,2.3737373737373737,2.6155923050961865,2.6155923050961865,2.6155923050961865,2.6155923050961865,2.6155923050961865,2.6155923050961865,2.6155923050961865,2.6155923050961865,,
1723586400,61240,62100,58875,59320,-9.074187614960147,-9.074187614960147,-0.13468013468013468,-0.13468013468013468,-3.1352057478772046,-3.1352057478772046,-3.1352057478772046,-3.1352057478772046,-3.1352057478772046,-3.1352057478772046,-3.1352057478772046,-3.1352057478772046,,
1723672800,59180,60080,56290,56845,-12.867872470876762,-12.867872470876762,-4.301346801346801,-4.301346801346801,-3.9455897262588713,-3.9455897262588713,-3.9455897262588713,-3.9455897262588713,-3.9455897262588713,-3.9455897262588713,-3.9455897262588713,-3.9455897262588713,,
1723759200,57300,60115,57245,59555,-8.713979153893318,-8.713979153893318,0.260942760942761,0.260942760942761,3.9354275741710296,3.9354275741710296,3.9354275741710296,3.9354275741710296,3.9354275741710296,3.9354275741710296,3.9354275741710296,3.9354275741710296,,
1724018400,59825,59845,58000,59275,-9.14316370324954,-9.14316370324954,-0.9193480986209779,-0.9193480986209779,-0.9193480986209779,-0.9193480986209779,-0.9193480986209779,-0.9193480986209779,-0.9193480986209779,-0.9193480986209779,-0.9193480986209779,-0.9193480986209779,,
1724104800,59185,61665,58695,59440,-8.890251379521766,-8.890251379521766,-0.6435436690346845,-0.6435436690346845,0.43085241192869816,0.43085241192869816,0.43085241192869816,0.43085241192869816,0.43085241192869816,0.43085241192869816,0.43085241192869816,0.43085241192869816,,
1724191200,59400,61990,58920,61375,-5.924279583077866,-5.924279583077866,2.590890096113665,2.590890096113665,3.3249158249158253,3.3249158249158253,3.3249158249158253,3.3249158249158253,3.3249158249158253,3.3249158249158253,3.3249158249158253,3.3249158249158253,,
1724277600,61795,61915,59860,60790,-6.820968730839976,-6.820968730839976,1.613038027580443,1.613038027580443,-1.6263451735577312,-1.6263451735577312,-1.6263451735577312,-1.6263451735577312,-1.6263451735577312,-1.6263451735577312,-1.6263451735577312,-1.6263451735577312,,
1724364000,60605,63995,60380,63795,-2.214898835070509,-2.214898835070509,6.636021730045967,6.636021730045967,5.263592112861975,5.263592112861975,5.263592112861975,5.263592112861975,5.263592112861975,5.263592112861975,5.263592112861975,5.263592112861975,,
1724623200,64425,65190,63100,63475,-2.7053954629061927,-2.7053954629061927,-1.474582848273186,-1.474582848273186,-1.474582848273186,-1.474582848273186,-1.474582848273186,-1.474582848273186,-1.474582848273186,-1.474582848273186,-1.474582848273186,-1.474582848273186,,
