time,open,high,low,close,Volume,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status
1771542900,24845.25,24867.5,24845.25,24859.25,5016,-2.627301214257736,-2.627301214257736,0.2823804673396734,0.2823804673396734,0.061383030107873125,0.061383030107873125,0.061383030107873125,0.061383030107873125,0.061383030107873125,0.061383030107873125
1771543800,24859.75,24888.75,24857.75,24872.75,5482,-2.5744222483352917,-2.5744222483352917,0.3368395574694676,0.3368395574694676,0.11572210594107228,0.11572210594107228,0.11572210594107228,0.11572210594107228,0.052293365782037235,0.052293365782037235
1771544700,24872.75,24885.25,24865,24878.25,4650,-2.552878965922444,-2.552878965922444,0.35902659418901334,0.35902659418901334,0.13786024794719048,0.13786024794719048,0.13786024794719048,0.13786024794719048,0.07441748207443759,0.07441748207443759
1771545600,24877.25,24893.5,24858,24889.5,7778,-2.508813160987074,-2.508813160987074,0.4044091692971752,0.4044091692971752,0.1831428111415231,0.1831428111415231,0.04924177712568713,0.04924177712568713,0.04924177712568713,0.04924177712568713
1771546500,24888.5,24895.75,24858.75,24890,9557,-2.506854680767724,-2.506854680767724,0.40642617263531566,0.40642617263531566,0.18515536950571568,0.18515536950571568,0.0512516455797968,0.0512516455797968,0.0512516455797968,0.0512516455797968
1771547400,24890,24913.25,24889.25,24897.5,7218,-2.4774774774774775,-2.4774774774774775,0.43668122270742354,0.43668122270742354,0.2153437449686041,0.2153437449686041,0.08139967239144198,0.08139967239144198,0.03013258336681398,0.03013258336681398
1771548300,24897.5,24908.75,24897.25,24901.5,3570,-2.461809635722679,-2.461809635722679,0.4528172494125478,0.4528172494125478,0.23144421188214456,0.23144421188214456,0.09747862002431941,0.09747862002431941,0.046203294495781436,0.046203294495781436
1771549200,24901,24936,24897.75,24931.75,7614,-2.3433215824520173,-2.3433215824520173,0.5748459513700496,0.5748459513700496,0.3532039929157946,0.3532039929157946,0.12348901650536123,0.12348901650536123,0.12348901650536123,0.12348901650536123
1771550100,24931.75,24932.25,24908,24921.25,6555,-2.384449667058363,-2.384449667058363,0.5324888812690984,0.5324888812690984,0.31094026726775076,0.31094026726775076,0.08132203525962813,0.08132203525962813,0.08132203525962813,0.08132203525962813
1771551000,24920.5,24926,24898.75,24901.5,4986,-2.461809635722679,-2.461809635722679,0.4528172494125478,0.4528172494125478,0.23144421188214456,0.23144421188214456,0.0020079514878920523,0.0020079514878920523,-0.07624245099416144,-0.07624245099416144
1771551900,24901.5,24919.25,24891,24906.5,6571,-2.442224833529181,-2.442224833529181,0.47298728279395297,0.47298728279395297,0.2515697955240702,0.2515697955240702,0.022087466366812577,0.022087466366812577,-0.056178648100961064,-0.056178648100961064
1771552800,24907,24934,24891.5,24893.75,7577,-2.492166079122601,-2.492166079122601,0.4215536976713697,0.4215536976713697,0.2002495572371599,0.2002495572371599,-0.05319789617376641,-0.05319789617376641,-0.05319789617376641,-0.05319789617376641
1771553700,24893.75,24902.25,24883,24888.5,6187,-2.5127301214257733,-2.5127301214257733,0.4003751626208941,0.4003751626208941,0.179117694413138,0.179117694413138,-0.07427630786525877,-0.07427630786525877,-0.07427630786525877,-0.07427630786525877
