time,open,high,low,close,Regime Ratio (debug),Dynamic Stop (debug),EMA Direction (debug),LOC Direction (debug),Bias Direction (debug),Regime Ratio (debug),Current Session Stop (debug),Entry Arrow Long,Entry Arrow Short,Invalidated (Long side),Invalidated (Short side),Volume,Volume MA
1784093880,30003.25,30007,30000,30000,0.012244598326948276,21.25,1,1,1,0.012244598326948276,21.25,0,0,0,0,466,768.85
1784093940,30000.5,30009,29996.5,30008.75,0.012244598326948276,21.25,1,1,1,0.012244598326948276,21.25,0,0,0,0,712,777.25
1784094000,30008.25,30009.75,30001.25,30002.75,0.012244598326948276,21.25,1,1,1,0.012244598326948276,21.25,0,0,0,0,490,773.2
1784094060,30003.25,30006,29998,29999.25,0.012244598326948276,21.25,1,1,1,0.012244598326948276,21.25,0,0,0,0,439,759.95
1784094120,29999.25,30007,29996,29999.75,0.012244598326948276,21.25,1,1,1,0.012244598326948276,21.25,0,0,0,0,577,750.8
1784094180,29999.25,30003,29987.5,29995,0.012244598326948276,21.25,1,1,1,0.012244598326948276,21.25,0,0,0,0,666,754.35
1784094240,29995,29996.5,29989.5,29992,0.012244598326948276,21.25,1,1,1,0.012244598326948276,21.25,0,0,0,0,352,748.65
1784094300,29992.25,29992.25,29985.5,29986,0.012244598326948276,21.25,1,1,1,0.012244598326948276,21.25,0,0,0,0,399,713.35
1784094360,29986,29996.5,29984.25,29994.75,0.012244598326948276,21.25,1,1,1,0.012244598326948276,21.25,0,0,0,0,400,690.65
1784094420,29993.75,29997.75,29990.25,29995.25,0.012244598326948276,21.25,1,1,1,0.012244598326948276,21.25,0,0,0,0,300,642
1784094480,29996.5,30006.5,29995,30006,0.012244598326948276,21.25,1,1,1,0.012244598326948276,21.25,0,0,0,0,482,631.55
1784094540,30006,30006.75,29999.75,30000.75,0.012244598326948276,21.25,1,1,1,0.012244598326948276,21.25,0,0,0,0,404,621.45
1784094600,30000.75,30001.75,29995,29998,0.012244598326948276,21.25,1,1,1,0.012244598326948276,21.25,0,0,0,0,411,612.6
1784094660,29997.5,29998,29990.5,29995.75,0.012244598326948276,21.25,1,1,1,0.012244598326948276,21.25,0,0,0,0,434,575.2
1784094720,29995.5,30004.25,29991.75,30003.5,0.012244598326948276,21.25,1,1,1,0.012244598326948276,21.25,0,0,0,0,405,521.85
1784094780,30003.25,30009,29999.75,30008.25,0.012244598326948276,21.25,1,1,1,0.012244598326948276,21.25,0,0,0,0,503,518.7
1784094840,30009,30012.75,30002.25,30010.75,0.012244598326948276,21.25,1,1,1,0.012244598326948276,21.25,0,0,0,0,691,520.65
1784094900,30009.5,30014,30008.75,30013.5,0.012244598326948276,21.25,1,1,1,0.012244598326948276,21.25,0,0,0,0,364,502.85
1784094960,30013.75,30024.25,30012.25,30023,0.012244598326948276,21.25,1,1,1,0.012244598326948276,21.25,0,0,0,0,1303,534.1
1784095020,30023,30024,30019,30021,0.012244598326948276,21.25,1,1,1,0.012244598326948276,21.25,0,0,0,0,611,520.45
1784095080,30020.75,30029.5,30019.5,30026.5,0.012244598326948276,21.25,1,1,1,0.012244598326948276,21.25,0,0,0,0,585,526.4
1784095140,30027,30031.5,30026,30030.75,0.012244598326948276,21.25,1,1,1,0.012244598326948276,21.25,0,0,0,0,560,518.8
1784095200,30031,30040,30030.75,30035.25,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,1235,556.05
1784095260,30036,30041.5,30032.75,30035,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,630,565.6
1784095320,30034.5,30046.25,30033,30045.5,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,855,579.5
1784095380,30045.75,30046,30034,30037.75,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,1069,599.65
1784095440,30038,30049.75,30038,30048.25,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,1032,633.65
1784095500,30048.75,30048.75,30038,30039.75,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,716,649.5
1784095560,30040.25,30043.25,30032.75,30036.25,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,774,668.2
1784095620,30035.75,30046.75,30033,30046.25,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,625,684.45
1784095680,30046.75,30050,30042.5,30044.25,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,571,688.9
1784095740,30045,30046.5,30036,30038.75,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,617,699.55
1784095800,30040,30040.75,30033,30036.25,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,564,707.2
1784095860,30036.75,30037.5,30028.5,30031,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,603,715.65
1784095920,30031.25,30034.25,30027.75,30033.75,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,471,718.95
1784095980,30034,30039.5,30032.75,30039.5,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,431,715.35
1784096040,30039.25,30044.5,30039,30043.25,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,413,701.45
1784096100,30040.75,30042,30030.25,30035.25,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,609,713.7
1784096160,30035.5,30039.25,30032.75,30032.75,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,390,668.05
1784096220,30032.5,30034.5,30028.25,30029.25,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,330,654
1784096280,30029,30033.5,30026.5,30030.25,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,473,648.4
1784096340,30030,30040.5,30028.25,30039.25,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,291,634.95
1784096400,30038.5,30038.75,30031.5,30031.5,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,321,589.25
1784096460,30031.75,30032,30025.75,30028.5,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,426,579.05
1784096520,30029,30031,30022.75,30027.25,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,436,558.1
1784096580,30027.25,30033.75,30027,30032,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,322,520.75
1784096640,30032,30036,30030.75,30033.5,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,235,480.9
1784096700,30033,30038,30032.75,30035,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,273,458.75
1784096760,30034.75,30045,30032,30040,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,702,455.15
1784096820,30040,30041.75,30036.5,30037,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,264,437.1
1784096880,30037,30040,30034.75,30035.75,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,410,429.05
1784096940,30035.75,30041.25,30034,30039.75,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,484,422.4
1784097000,30040.75,30046.25,30026.25,30027.75,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,1274,457.9
1784097060,30027.5,30029.5,30012,30014,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,1399,497.7
1784097120,30013.75,30018.25,30009.25,30014.5,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,769,512.6
1784097180,30015,30026.5,30014.25,30024.75,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,646,523.35
