time,open,high,low,close,MA fast,MA slow,Cloud fast,Cloud medium,Cloud slow,Volume
1785960900,29605,29618,29560,29569.75,,,29603.634803281733,29673.57091320982,29673.57091320982,15686
1785961800,29571,29603.5,29566.25,29598.5,,,29601.067401640867,29658.556730567856,29658.556730567856,9070
1785962700,29598.75,29607,29576.25,29594.75,,,29597.908700820433,29645.795384454286,29645.795384454286,6022
1785967200,29576,29597,29560,29572.25,,,29585.07935041022,29631.08630756343,29631.08630756343,10307
1785968100,29571.25,29638.5,29570.75,29627.75,,,29606.41467520511,29630.419046050745,29630.419046050745,11520
1785969000,29627.25,29670.75,29623,29655,,,29630.707337602555,29635.335236840598,29635.335236840598,10944
1785969900,29654.5,29678.75,29617,29621.75,,,29626.228668801275,29632.61818947248,29632.61818947248,15317
1785970800,29622.5,29636.25,29611.75,29630.75,,,29628.489334400638,29632.244551577984,29632.244551577984,6725
1785971700,29630.75,29650.5,29616.5,29628.25,,,29628.36966720032,29631.445641262388,29631.445641262388,8382
1785972600,29628.25,29636.75,29575.75,29587.5,,,29607.93483360016,29622.65651300991,29622.65651300991,16816
1785973500,29587.5,29589.75,29566.5,29583.75,,,29595.84241680008,29614.87521040793,29614.87521040793,11703
1785974400,29584.25,29601.25,29546.25,29581.25,,,29588.54620840004,29608.15016832634,29608.15016832634,26781
1785975300,29580.75,29608.75,29553.5,29561,,,29574.77310420002,29598.720134661075,29598.720134661075,17528
1785976200,29561,29587.25,29548,29560,,,29567.38655210001,29590.97610772886,29590.97610772886,15828
1785977100,29560,29580.75,29535.25,29539,,,29553.193276050006,29580.58088618309,29580.58088618309,14125
1785978000,29538.5,29541.25,29501.75,29521.75,,,29537.471638025003,29568.81470894647,29568.81470894647,21523
1785978900,29522.5,29523,29454.25,29473.5,,,29505.4858190125,29549.751767157177,29549.751767157177,18838
1785979800,29473.5,29509.75,29469,29474.75,,,29490.11790950625,29534.751413725742,29534.751413725742,17769
1785980700,29475,29519,29472.75,29498,,,29494.058954753127,29527.401130980594,29527.401130980594,13610
1785981600,29497.75,29556.75,29487.75,29541.75,,,29517.904477376564,29530.270904784476,29530.270904784476,18442
1785982500,29542,29578.5,29535.5,29548.25,,,29533.07723868828,29533.86672382758,29533.86672382758,13688
1785983400,29548.5,29618.75,29529.25,29616.75,,,29574.91361934414,29550.443379062064,29550.443379062064,17010
1785984300,29617,29621,29585.25,29594,,,29584.45680967207,29559.154703249653,29559.154703249653,10091
1785985200,29593.75,29608.75,29571.25,29578.25,,,29581.353404836034,29562.973762599722,29562.973762599722,9284
1785986100,29579,29585.75,29535,29543.5,,,29562.426702418015,29559.07901007978,29559.07901007978,11014
1785987000,29543,29563.75,29522.75,29553,,,29557.713351209008,29557.863208063824,29557.863208063824,12179
1785987900,29552.25,29584.75,29539.75,29581.75,,,29569.731675604504,29562.64056645106,29562.64056645106,10509
1785988800,29581.75,29584,29535.25,29556.5,,,29563.115837802252,29561.412453160847,29561.412453160847,10270
1785989700,29556.25,29597.75,29556.25,29586,,,29574.557918901126,29566.329962528678,29566.329962528678,6960
1785990600,29585.5,29600.5,29544.75,29555.5,,,29565.028959450563,29564.163970022943,29564.163970022943,8445
1785991500,29556,29577.25,29543.5,29575,,,29570.01447972528,29566.331176018353,29566.331176018353,5699
1785992400,29575,29596,29557.75,29582,,,29576.00723986264,29569.464940814683,29569.464940814683,7459
1785993300,29581.25,29594,29565,29579.5,,,29577.753619931318,29571.471952651747,29571.471952651747,5789
1785994200,29578.5,29583.75,29548.75,29583.25,,,29580.50180996566,29573.827562121398,29573.827562121398,7387
1785995100,29583,29584.25,29544.25,29580.25,,,29580.37590498283,29575.11204969712,29575.11204969712,6846
1785996000,29580.25,29581.5,29499,29506,,,29543.187952491415,29561.289639757695,29561.289639757695,11048
1785996900,29506.5,29549,29484,29547,,,29545.093976245706,29558.431711806155,29558.431711806155,11749
1785997800,29546.5,29548.75,29494,29504.75,,,29524.921988122853,29547.695369444926,29547.695369444926,8802
1785998700,29504.25,29528.5,29486.25,29521.5,,,29523.210994061425,29542.45629555594,29542.45629555594,7146
1785999600,29520.75,29564,29506,29551.5,,,29537.355497030712,29544.265036444755,29544.265036444755,12005
1786000500,29552,29562.75,29525.25,29536.75,,,29537.052748515358,29542.762029155805,29542.762029155805,7871
1786001400,29537.75,29542.25,29501.75,29517.25,,,29527.15137425768,29537.659623324646,29537.659623324646,7526
1786002300,29517.5,29538,29500,29506.25,,,29516.70068712884,29531.377698659715,29531.377698659715,7450
1786003200,29506.75,29525.5,29444.25,29460,,,29488.35034356442,29517.102158927773,29517.102158927773,18211
1786004100,29460.25,29514,29446.75,29508,,,29498.17517178221,29515.281727142217,29515.281727142217,11754
1786005000,29509.25,29532.75,29500.5,29503.75,,,29500.962585891106,29512.975381713775,29512.975381713775,9651
1786005900,29503,29524.5,29489.75,29517.25,,,29509.10629294555,29513.83030537102,29513.83030537102,8934
1786006800,29518,29518.5,29437.75,29449.25,,,29479.178146472776,29500.914244296815,29500.914244296815,11946
1786007700,29448.5,29494,29446.5,29482.5,,,29480.839073236388,29497.23139543745,29497.23139543745,8911
1786008600,29483.25,29499,29475.25,29489,,,29484.919536618196,29495.58511634996,29495.58511634996,5204
1786009500,29489,29531,29489,29526.75,,,29505.834768309098,29501.818093079968,29501.818093079968,7090
1786010400,29526.25,29537.5,29495,29503.75,,,29504.79238415455,29502.204474463975,29502.204474463975,7653
1786011300,29503.75,29526.5,29492.75,29517.5,,,29511.146192077274,29505.26357957118,29505.26357957118,6791
1786012200,29517.5,29519.5,29474.75,29480,,,29495.573096038635,29500.210863656943,29500.210863656943,8008
1786013100,29480.5,29493.25,29466.25,29485.5,,,29490.536548019318,29497.268690925554,29497.268690925554,9267
1786014000,29484.5,29488.25,29364.75,29419.25,,,29454.893274009657,29481.664952740444,29481.664952740444,30367
1786014900,29419.5,29474.5,29417.5,29469,,,29461.94663700483,29479.131962192354,29479.131962192354,15408
1786015800,29469.25,29516,29468.5,29493.5,,,29477.723318502416,29482.005569753885,29482.005569753885,15198
1786016700,29494,29512,29439.25,29466.25,,,29471.986659251208,29478.854455803106,29478.854455803106,20667
1786017600,29465.75,29476.25,29409,29412,,,29441.993329625606,29465.483564642484,29465.483564642484,18251
1786018500,29413,29451.75,29388.25,29432,,,29436.996664812803,29458.786851713987,29458.786851713987,17477
1786019400,29432,29462.75,29413,29432,,,29434.4983324064,29453.42948137119,29453.42948137119,17949
1786020300,29432.25,29440,29389,29399,,,29416.7491662032,29442.54358509695,29442.54358509695,18520
1786021200,29399.5,29404,29350,29351.25,,,29383.9995831016,29424.28486807756,29424.28486807756,29692
1786022100,29352,29367.25,29327.5,29334.75,,,29359.3747915508,29406.37789446205,29406.37789446205,35207
1786023000,29335.25,29473.25,29241,29457.75,,,29408.5623957754,29416.65231556964,29416.65231556964,208554
1786023900,29457.75,29551,29447.25,29528,,,29468.2811978877,29438.921852455715,29438.921852455715,160058
1786024800,29528.25,29619.25,29487.75,29608.5,,,29538.39059894385,29472.837481964572,29472.837481964572,134720
