time,open,high,low,close,EMA,Volume,Volume MA,EMA Direction (debug),Order Sent Long,Order Sent Short,Cancelled (Long side),Cancelled (Short side)
1785424680,28029.75,28048.75,28021.5,28045.75,,5178,8381.8,-1,0,0,0,0
1785424740,28045.25,28056.25,28037.5,28046.75,,3932,8048.1,-1,0,1,0,0
1785424800,28046.75,28060,28037.75,28055.25,,4629,7634.85,-1,0,0,0,0
1785424860,28055.25,28099.5,28053.5,28077.25,,8199,7559.1,-1,0,0,0,0
1785424920,28077,28088.25,28061.5,28074.75,,4985,7346.8,-1,0,0,0,0
1785424980,28074.75,28077.25,28030.5,28057.5,,6802,7103.15,-1,0,0,0,0
1785425040,28057.25,28062.75,28035.75,28049.75,,4256,6912,-1,0,0,0,0
1785425100,28050,28079.5,28030,28037.5,,6271,6869.55,-1,0,0,0,0
1785425160,28037,28043.25,27995.5,28041.25,,10090,7009.9,-1,0,0,0,0
1785425220,28040.75,28053.25,28017.25,28020.25,,5588,6872.35,-1,0,0,0,0
1785425280,28019,28025.75,28003.75,28021.5,,5308,6784.55,-1,0,0,0,0
1785425340,28022.25,28033.25,28007.5,28010.25,28053.039558022218,4641,6526.15,-1,0,0,0,0
1785425400,28010.25,28023.5,28001,28008,,6105,6367.45,-1,0,0,0,0
1785425460,28007.5,28042.25,28005.25,28030.75,,5639,6193.5,-1,0,0,0,0
1785425520,28031,28055.25,28029.75,28038.25,,5112,6118.45,-1,0,0,0,0
1785425580,28038.5,28051,28028,28050.5,,3886,5956.5,-1,0,0,0,0
1785425640,28049.5,28074,28030,28073.5,,5997,5960.05,-1,0,0,0,0
1785425700,28073.75,28090,28055.5,28059.75,,7022,5868.1,-1,0,0,0,0
1785425760,28060,28088,28059,28087.25,,4353,5726.1,1,1,0,0,0
1785425820,28086.75,28088,28041.5,28043.5,,5660,5682.65,-1,0,0,1,0
1785425880,28044,28056.25,28036.5,28049.25,,4619,5654.7,-1,0,0,0,0
1785425940,28049.75,28073.25,28042.5,28072,,4061,5661.15,-1,0,0,0,0
1785426000,28072.25,28087,28058.75,28075.75,,5725,5715.95,1,0,0,0,0
1785426060,28075,28084,28062.75,28078.25,,3152,5463.6,1,0,0,0,0
1785426120,28078.5,28080.25,28055,28076.5,,4250,5426.85,1,0,0,0,0
1785426180,28076.75,28089.75,28066,28088.25,,4391,5306.3,1,0,0,0,0
1785426240,28088,28109.25,28086,28089.5,28065.19303868148,5784,5382.7,1,0,0,0,0
1785426300,28090,28114,28089.25,28109,,3801,5259.2,1,1,0,0,0
1785426360,28109.25,28133.75,28106.25,28123.5,,4885,4998.95,1,0,0,0,0
1785426420,28123.75,28131.5,28120.5,28122.5,,2725,4855.8,1,0,0,0,0
1785426480,28122.5,28123.75,28100.75,28106.5,,3947,4787.75,1,0,0,0,0
1785426540,28106.75,28117,28090,28114.25,,3903,4750.85,1,0,0,0,0
1785426600,28113.75,28121.75,28087,28090,,4054,4648.3,1,0,0,0,0
1785426660,28089.25,28106.75,28074,28106.5,,5420,4637.35,1,0,0,0,0
1785426720,28106,28106,28048.5,28068.25,,6174,4690.45,1,0,0,0,0
1785426780,28068.5,28093.5,28063.25,28087.25,,4482,4720.25,1,0,0,0,0
1785426840,28087.75,28111.25,28077.5,28108.25,,4017,4621.25,1,0,0,0,0
1785426900,28108.5,28130.25,28108.5,28122.5,,4641,4502.2,1,0,0,0,0
1785426960,28122.5,28131.5,28114.75,28116.5,,3391,4454.1,1,0,0,0,0
1785427020,28117.25,28120.5,28105,28112.5,,3345,4338.35,1,0,0,0,0
