time,open,high,low,close,EMA Direction (debug),Order Sent Long,Order Sent Short,Volume,Volume MA
1785530460,28392.75,28393.75,28387.25,28392,-1,0,0,340,638.45
1785530520,28392.5,28394.5,28385,28386.75,-1,0,0,281,617.6
1785530580,28387.25,28387.25,28378.25,28381,-1,0,0,609,627.8
1785530640,28380,28386.5,28378,28381.5,-1,0,0,734,640.25
1785530700,28381.5,28385.75,28379,28385.5,-1,0,0,638,643.8
1785530760,28385,28386,28381.25,28385.75,-1,0,0,357,642.75
1785530820,28385.25,28386.75,28381,28381,-1,0,0,356,614.2
1785530880,28381.5,28383,28378.5,28382.5,-1,0,0,308,600.3
1785530940,28382.25,28384.5,28378.25,28383.25,-1,0,0,501,595.9
1785531000,28383,28386.25,28380.75,28383.25,-1,0,0,542,554.65
1785531060,28383,28385.25,28380.75,28382,-1,0,0,494,553.55
1785531120,28380.75,28385.25,28377,28381.5,-1,0,0,724,544.35
1785531180,28381.5,28382,28316.75,28339.75,-1,0,0,2914,645.6
1785531240,28340,28349.5,28314,28344.25,-1,0,0,1890,684.25
1785531300,28344.25,28344.5,28314.25,28319.25,-1,0,0,938,693.45
1785531360,28317.75,28322,28301.75,28311.5,-1,0,0,1017,711.1
1785531420,28311.5,28317.5,28295.75,28302,-1,0,0,867,733.8
1785531480,28300,28312,28294.75,28305.75,-1,0,0,585,739.55
1785531540,28304.5,28305.75,28266,28284,-1,0,0,1289,787.4
1785708000,28567.5,28627.75,28550,28610.75,1,0,0,5194,1028.9
1785708060,28608.25,28626.75,28590,28601,1,0,0,4155,1219.65
1785708120,28604,28622,28600.5,28604.75,1,0,0,1901,1300.65
1785708180,28604.5,28621,28600,28617.25,1,0,0,1451,1342.75
1785708240,28617.5,28620.75,28601.25,28615,1,0,0,944,1353.25
1785708300,28615.5,28617.5,28595,28600.5,1,0,0,1609,1401.8
1785708360,28601.75,28614.25,28598.75,28604.75,1,0,0,726,1420.25
1785708420,28604,28606.25,28581,28596.75,1,0,0,1488,1476.85
1785708480,28596.75,28600.25,28585,28587.25,1,0,0,782,1500.55
1785708540,28586.5,28604.75,28578.75,28604.5,1,0,0,1243,1537.65
1785708600,28602.75,28613,28600.25,28608.25,1,0,0,1273,1574.2
1785708660,28608,28618.75,28605.25,28617.75,1,0,0,1186,1608.8
1785708720,28617.75,28635.5,28614,28635.5,1,0,0,1809,1663.05
1785708780,28635.75,28642,28633,28635.75,1,0,0,1545,1594.6
1785708840,28635,28639,28621,28623.75,1,0,0,1039,1552.05
1785708900,28623.75,28631,28615.25,28628.5,1,0,0,1147,1562.5
1785708960,28627.25,28628,28619.5,28625,1,0,0,554,1539.35
1785709020,28623,28631.75,28615,28621.5,1,0,0,909,1541.45
1785709080,28620.75,28622,28590.5,28592.25,1,0,0,1410,1582.7
1785709140,28591.25,28599.75,28580.5,28595.75,1,0,0,1842,1610.35
1785709200,28596.5,28631,28595.5,28624.25,1,0,0,1995,1450.4
1785709260,28623.25,28629.75,28618.25,28626.25,1,0,0,927,1289
1785709320,28626.75,28633,28620.25,28628.75,1,0,0,817,1234.8
1785709380,28629.75,28630.5,28616.75,28626.25,1,0,0,816,1203.05
1785709440,28625.25,28628.75,28611.25,28612,1,1,0,1028,1207.25
1785709500,28612.25,28619,28612,28615.25,1,0,0,571,1155.35
1785709560,28615.25,28617.25,28600.75,28603.25,1,0,0,865,1162.3
