time,open,high,low,close,EMA,Volume,Volume MA,EMA Direction (debug),HTF EMA Value (debug),Order Sent Long,Order Sent Short
1785748140,28570.75,28575.5,28570,28573,,300,799.6,1,28561.962290325122,0,0
1785748200,28573,28575.75,28564,28564.5,,555,796.95,1,28561.962290325122,0,0
1785748260,28564.25,28566.25,28543.75,28546.25,,1704,855.25,-1,28561.962290325122,0,0
1785748320,28546.5,28550,28543,28546.5,,604,830.95,-1,28561.962290325122,0,0
1785748380,28546,28561.5,28545.75,28557.5,,610,834.2,-1,28561.962290325122,0,0
1785748440,28558,28561.25,28553,28558.5,28560.80819355008,535,836.1,-1,28561.962290325122,0,0
1785748500,28559.25,28562,28554.75,28562,,430,799,1,28560.80819355008,0,0
1785748560,28561.75,28573.75,28560,28567.25,,1049,774.6,1,28560.80819355008,1,0
1785748620,28568.5,28576,28561.25,28565.25,,556,750.9,1,28560.80819355008,0,0
1785748680,28565,28567.25,28558.75,28566.25,,525,746.9,1,28560.80819355008,0,0
1785748740,28566.25,28582.25,28566.25,28574,,1142,771.95,1,28560.80819355008,0,0
1785748800,28574,28576,28563,28570.5,,413,709.5,1,28560.80819355008,0,0
1785748860,28570.25,28573,28559.25,28569.75,,898,710.15,1,28560.80819355008,0,0
1785748920,28569.5,28573.5,28566.25,28572,,258,679.15,1,28560.80819355008,0,0
1785748980,28570.75,28571,28560.5,28561.75,,318,664.15,1,28560.80819355008,0,0
1785749040,28561,28565.75,28551.75,28552,,783,657.5,-1,28560.80819355008,0,0
1785749100,28552.25,28560.25,28550.5,28556.75,,670,646.3,-1,28560.80819355008,0,0
1785749160,28556,28556,28548.25,28549.75,,805,652.25,-1,28560.80819355008,0,0
1785749220,28550.5,28558,28547.75,28555,,551,652.7,-1,28560.80819355008,0,0
1785749280,28554.75,28559,28547.25,28550.5,,544,662.5,-1,28560.80819355008,0,0
1785749340,28550.25,28557.25,28550,28556.5,28559.37212903339,290,662,-1,28560.80819355008,0,0
1785749400,28556,28561.5,28552.75,28560.25,,303,649.4,1,28559.37212903339,0,0
1785749460,28559.5,28559.75,28547.5,28548,,503,589.35,-1,28559.37212903339,0,0
1785749520,28547.75,28566.5,28547.75,28564.25,,632,590.75,1,28559.37212903339,0,0
1785749580,28563.25,28565.5,28557.5,28560.75,,422,581.35,1,28559.37212903339,0,0
1785749640,28560.5,28564,28555,28556.25,,294,569.3,-1,28559.37212903339,0,0
1785749700,28556.25,28568.25,28556.25,28561.25,,388,567.2,1,28559.37212903339,0,0
1785749760,28560.5,28581,28560,28561.75,,1044,566.95,1,28559.37212903339,0,0
1785749820,28562.5,28567,28546.25,28550.25,,1064,592.35,-1,28559.37212903339,0,0
1785749880,28550,28559,28547.75,28558,,550,593.6,-1,28559.37212903339,0,0
1785749940,28557.75,28558,28547,28551.25,,476,560.3,-1,28559.37212903339,0,0
1785750000,28552.75,28557.25,28549.75,28556,,461,562.7,-1,28559.37212903339,0,0
1785750060,28556,28557.5,28547,28551,,383,536.95,-1,28559.37212903339,0,0
1785750120,28551.5,28561.75,28551,28554.5,,499,549,-1,28559.37212903339,0,0
1785750180,28554.75,28556.75,28550.25,28553.25,,258,546,-1,28559.37212903339,0,0
1785750240,28554.5,28556.25,28543,28544.5,28554.414752688925,544,534.05,-1,28559.37212903339,0,0
1785750300,28545.5,28560.75,28545,28557.75,,413,521.2,1,28554.414752688925,0,0
1785750360,28557.5,28560,28554.5,28557.25,,236,492.75,1,28554.414752688925,0,0
1785750420,28556,28559.25,28551.5,28554.5,,265,478.45,1,28554.414752688925,0,0
1785750480,28554.75,28558.25,28550,28552.5,,300,466.25,-1,28554.414752688925,0,0
1785750540,28552.5,28559.5,28538.5,28545,,745,489,-1,28554.414752688925,0,0
1785750600,28545.25,28547,28536.75,28537.75,,651,506.4,-1,28554.414752688925,0,0
1785750660,28538.25,28538.75,28527.5,28528.25,,917,527.1,-1,28554.414752688925,0,0
1785750720,28528.25,28531.5,28524.75,28526.75,,666,528.8,-1,28554.414752688925,0,0
1785750780,28527.25,28530.25,28520.5,28528,,833,549.35,-1,28554.414752688925,0,0
1785750840,28529,28543.5,28528.5,28542.5,,729,571.1,-1,28554.414752688925,0,0
1785750900,28542.5,28548.75,28535.5,28547.25,,727,588.05,-1,28554.414752688925,0,0
1785750960,28547.75,28561.5,28546.75,28558.5,,848,578.25,1,28554.414752688925,0,0
1785751020,28558,28561.75,28550,28557.25,,507,550.4,1,28554.414752688925,0,0
1785751080,28558,28561.75,28555.5,28561,,357,540.75,1,28554.414752688925,0,0
1785751140,28562,28563.5,28558,28558.5,28555.776501792618,383,536.1,1,28554.414752688925,0,0
1785751200,28559.25,28566,28554.25,28558.75,,644,545.25,1,28555.776501792618,0,0
1785751260,28559.25,28559.25,28537,28544,,1121,582.15,-1,28555.776501792618,0,0
1785751320,28543.75,28548.5,28540.5,28546.25,,298,572.1,-1,28555.776501792618,0,0
1785751380,28546.5,28555,28543,28554.5,,395,578.95,-1,28555.776501792618,0,0
1785751440,28553.25,28554,28543.25,28549.25,,441,573.8,-1,28555.776501792618,0,0
1785751500,28548.75,28550.25,28541.75,28547.75,,323,569.3,-1,28555.776501792618,0,0
1785751560,28548.5,28551.75,28539.5,28547.5,,583,586.65,-1,28555.776501792618,0,0
1785751620,28547.75,28548.5,28536,28541.5,,420,594.4,-1,28555.776501792618,0,0
1785751680,28542,28545.25,28537,28537,,213,590.05,-1,28555.776501792618,0,0
1785751740,28537.25,28548,28535.75,28541.25,,401,572.85,-1,28555.776501792618,0,0
1785751800,28541.5,28543.5,28529.75,28541.5,,773,578.95,-1,28555.776501792618,0,0
1785751860,28541.5,28544.75,28535.75,28536,,415,553.85,-1,28555.776501792618,0,0
1785751920,28536,28543.75,28535.5,28540.5,,299,535.5,-1,28555.776501792618,0,0
1785751980,28539.5,28539.75,28525.25,28531.75,,918,539.75,-1,28555.776501792618,0,0
1785752040,28531.75,28539,28526.75,28527.25,28546.267667861746,614,534,-1,28555.776501792618,0,0
1785752100,28526.25,28539.25,28522.75,28531.5,,913,543.3,-1,28546.267667861746,0,0
1785752160,28532.25,28535.25,28529.5,28533.25,,300,515.9,-1,28546.267667861746,0,0
1785752220,28533.5,28536,28520.5,28521.75,,701,525.6,-1,28546.267667861746,0,0
1785752280,28522.75,28540.75,28520.75,28538,,824,548.95,-1,28546.267667861746,0,0
1785752340,28537,28537,28524.75,28525.25,,464,553,-1,28546.267667861746,0,0
