time,open,high,low,close,TheStrat Label 1,TheStrat Label 2,TheStrat Label 3,2-1-2 BLR,2-1-2 BLC,3-1-2 BLR,3-2-2 BLR,Rev Strat 1-2-2 BLR,2-2 BLR,2-1-2 BRR,2-1-2 BRC,3-1-2 BRR,3-2-2 BRR,Rev Strat 1-2-2 BRR,2-2 BRR,Double Inside,PMG BLR,PMG BRR,Volume,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status
1568934000,7903,7907.6,7902.5,7903.8,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930,3.0348064137661344,3.0348064137661344,0.19014298752662,0.19014298752662,0.11019493103317016,0.11019493103317016,0.010122738200685585,0.010122738200685585
1568937600,7903.8,7904.6,7889.3,7903.9,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10653,3.0361100247686044,3.0361100247686044,0.19141060744345723,0.19141060744345723,0.11146153943584339,0.11146153943584339,0.0012652142007572851,0.0012652142007572851
1568941200,7903.9,7913.9,7902.4,7907.8,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7792,3.086950853865209,3.086950853865209,0.24084778420038533,0.24084778420038533,0.1608592671403759,0.1608592671403759,0.049342729538589127,0.049342729538589127
1568944800,7907.8,7913.6,7906.3,7909.4,1,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4085,3.1078086299048313,3.1078086299048313,0.2611297028698846,0.2611297028698846,0.1811250015832513,0.1811250015832513,0.02023318748576664,0.02023318748576664
1568948400,7909.4,7912.6,7906.4,7910.8,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2499,3.126059183939515,3.126059183939515,0.27887638170570933,0.27887638170570933,0.1988575192207802,0.1988575192207802,0.017700457683269853,0.017700457683269853
1568952000,7910.8,7912.9,7906.8,7907.8,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2072,3.086950853865209,3.086950853865209,0.24084778420038533,0.24084778420038533,0.1608592671403759,0.1608592671403759,-0.037922839662233906,-0.037922839662233906
1568955600,7907.8,7908.9,7898.6,7899.8,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3878,2.98266197366706,2.98266197366706,0.13943819085285467,0.13943819085285467,0.05953059492596443,0.05953059492596443,-0.10116593742886769,-0.10116593742886769
1568959200,7899.8,7914.6,7899.1,7912.7,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5486,3.1508277929865707,3.1508277929865707,0.3029611601257433,0.3029611601257433,0.22292307887169832,0.22292307887169832,0.16329527329805357,0.16329527329805357
1568962800,7912.7,7917.4,7902.2,7915.1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13185,3.1821144570460222,3.1821144570460222,0.33338403813000944,0.33338403813000944,0.25332168053602866,0.25332168053602866,0.030330986894492977,0.030330986894492977
1568966400,7915.1,7916.1,7904.6,7906.2,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8264,3.0660930778255744,3.0660930778255744,0.22056586553087462,0.22056586553087462,0.140593532697489,0.140593532697489,-0.11244330456975332,-0.11244330456975332
1568970000,7906.2,7917.7,7905.1,7916.4,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9794,3.199061400078212,3.199061400078212,0.3498630970489739,0.3498630970489739,0.2697875897708613,0.2697875897708613,0.1290126735979335,0.1290126735979335
1568973600,7916.4,7922.9,7912.1,7913.8,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9389,3.1651675140138202,3.1651675140138202,0.3169049792110334,0.3169049792110334,0.23685577130118451,0.23685577130118451,-0.032843211560803574,-0.032843211560803574
1568977200,7913.8,7916.9,7907.7,7916.7,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7382,3.202972233085645,3.202972233085645,0.35366595679950863,0.35366595679950863,0.27358741497890404,0.27358741497890404,0.03664484823977907,0.03664484823977907
1568980800,7916.7,7923,7904.4,7919.1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11548,3.2342588971450965,3.2342588971450965,0.3840888348037747,0.3840888348037747,0.30398601664323444,0.30398601664323444,0.030315661828799193,0.030315661828799193
1568984400,7919.1,7928.3,7902.4,7902.6,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60538,3.019163081736415,3.019163081736415,0.17493154852449272,0.17493154852449272,0.09499563020101075,0.09499563020101075,-0.20835701026631812,-0.20835701026631812
1568988000,7902.6,7913.5,7887.4,7892,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47182,2.8809803154738627,2.8809803154738627,0.040563837339009964,0.040563837339009964,-0.039264860483089054,-0.039264860483089054,-0.13413307012882297,-0.13413307012882297
1568991600,7892,7894.8,7858.8,7874.6,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41004,2.6541520010428936,2.6541520010428936,-0.18000202819186464,-0.18000202819186464,-0.25965472254942934,-0.25965472254942934,-0.22047643182969637,-0.22047643182969637
1568995200,7874.6,7879.2,7851.8,7866,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32012,2.542041454829879,2.542041454829879,-0.2890173410404647,-0.2890173410404647,-0.3685830451799263,-0.3685830451799263,-0.10921189647728599,-0.10921189647728599
1568998800,7866,7868.6,7787.6,7821.4,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,175259,1.9606309477251942,1.9606309477251942,-0.8543758239529529,-0.8543758239529529,-0.9334903927752748,-0.9334903927752748,-0.5669972031528142,-0.5669972031528142
1569002400,7821.4,7849.2,7817.2,7836.2,1,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67389,2.153565376091772,2.153565376091772,-0.6667680762600189,-0.6667680762600189,-0.7460323491786113,-0.7460323491786113,0.18922443552305448,0.18922443552305448
1569006000,7836.2,7845.6,7813,7815,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55036,1.8771998435666797,1.8771998435666797,-0.9355034986309728,-0.9355034986309728,-1.0145533305467995,-1.0145533305467995,-0.270539292003775,-0.270539292003775
