Time,Open,High,Low,Latest,Change,%Change,Volume
"2025-03-18 08:10",19916.5,19918.75,19909,19912.75,-4.,-0.02%,3090
"2025-03-18 08:05",19895,19917.25,19889.5,19916.75,22,+0.11%,4462
"2025-03-18 08:00",19904.75,19915,19885.75,19894.75,-10.25,-0.05%,8015
"2025-03-18 07:55",19938,19938.75,19901.25,19905,-33.25,-0.17%,6765
"2025-03-18 07:50",19940.25,19944.25,19930,19938.25,-1.75,-0.01%,2768
"2025-03-18 07:45",19947.75,19958.75,19935,19940,-8.,-0.04%,2839
"2025-03-18 07:40",19944.25,19952.5,19937,19948,3.25,+0.02%,2918
"2025-03-18 07:35",19970.25,19970.25,19941,19944.75,-25.5,-0.13%,3423
"2025-03-18 07:30",19962,19976.5,19951,19970.25,9.25,+0.05%,3645
"2025-03-18 07:25",19946,19964.75,19943.5,19961,14.75,+0.07%,1904
"2025-03-18 07:20",19941,19951.75,19934,19946.25,6,+0.03%,1748
"2025-03-18 07:15",19951,19952.75,19933.25,19940.25,-10.75,-0.05%,1650
"2025-03-18 07:10",19939.5,19952.5,19933.25,19951,11.25,+0.06%,1992
"2025-03-18 07:05",19951,19957.75,19934.5,19939.75,-11.25,-0.06%,2395
"2025-03-18 07:00",19970.75,19970.75,19945.5,19951,-20.75,-0.10%,2744
"2025-03-18 06:55",19968.5,19980,19968,19971.75,4,+0.02%,2039
"2025-03-18 06:50",19962.5,19970.75,19961,19967.75,4.5,+0.02%,1954
"2025-03-18 06:45",19944.25,19965.25,19943.75,19963.25,19.75,+0.10%,2333
"2025-03-18 06:40",19936.25,19946.25,19929.25,19943.5,7.75,+0.04%,2917
"2025-03-18 06:35",19947,19953.75,19934.75,19935.75,-11.25,-0.06%,1695
"2025-03-18 06:30",19955.5,19956.75,19946,19947,-8.75,-0.04%,2005
"2025-03-18 06:25",19972,19974.25,19955.5,19955.75,-15.75,-0.08%,1833
"2025-03-18 06:20",19977.75,19984.25,19971,19971.5,-7.,-0.04%,1283
"2025-03-18 06:15",19982.5,19986,19967.25,19978.5,-2.75,-0.01%,1770
"2025-03-18 06:10",19973,19997.75,19963.25,19981.25,8.25,+0.04%,5229
"2025-03-18 06:05",19969.25,19978.25,19965.25,19973,3.75,+0.02%,1523
"2025-03-18 06:00",19981.25,19984.25,19966.75,19969.25,-11.25,-0.06%,1662
"2025-03-18 05:55",19977.25,19984.75,19967.5,19980.5,3,+0.02%,1705
"2025-03-18 05:50",19972.75,19978.75,19964.25,19977.5,5,+0.03%,1621
"2025-03-18 05:45",19966.75,19976,19964.25,19972.5,6,+0.03%,1530
"2025-03-18 05:40",19959.5,19969.25,19958.25,19966.5,7.5,+0.04%,1307
"2025-03-18 05:35",19947.25,19960,19946,19959,12,+0.06%,1761
"2025-03-18 05:30",19967.75,19968,19937.75,19947,-20.5,-0.10%,3773
"2025-03-18 05:25",19964.25,19973.5,19962,19967.5,3,+0.02%,1920
"2025-03-18 05:20",19937.75,19967,19931.75,19964.5,27.5,+0.14%,3306
"2025-03-18 05:15",19963,19964,19922.75,19937,-25.5,-0.13%,4470
