time,open,high,low,close,MA,EMA,EMA,Volume,Plot,MFI Bar TOP Line,MFI Bar BOTTOM Line,WT Wave 1,WT Wave 2,VWAP,RSI+MFI Area,WT Bearish Divergence,WT Bullish Divergence,WT 2nd Bearish Divergence,WT 2nd Bullish Divergence,RSI,RSI Bearish Divergence,RSI Bullish Divergence,Stoch K,Stoch D,Stoch Bearish Divergence,Stoch Bullish Divergence,Schaff Trend Cycle 1,Schaff Trend Cycle 2,Over Bought Level 2,Over Bought Level 3,Over Sold Level 2,Sommi bearish flag,Sommi bullish flag,Sommi bearish diamond,Sommi bullish diamond,Buy and sell circle,Buy circle,Sell circle,Divergence buy circle,Divergence sell circle,Gold  buy gold circle,Plot,MFI Bar TOP Line,MFI Bar BOTTOM Line,WT Wave 1,WT Wave 2,VWAP,RSI+MFI Area,WT Bearish Divergence,WT Bullish Divergence,WT 2nd Bearish Divergence,WT 2nd Bullish Divergence,RSI,RSI Bearish Divergence,RSI Bullish Divergence,Stoch K,Stoch D,Stoch Bearish Divergence,Stoch Bullish Divergence,Schaff Trend Cycle 1,Schaff Trend Cycle 2,Over Bought Level 2,Over Bought Level 3,Over Sold Level 2,Sommi bearish flag,Sommi bullish flag,Sommi bearish diamond,Sommi bullish diamond,Buy and sell circle,Buy circle,Sell circle,Divergence buy circle,Divergence sell circle,Gold  buy gold circle
1746662400,96988.1,104253.8,96832.1,103240,90855.28850000008,93804.18132440883,97287.56556772173,152859.152,0,-95,-99,63.11246465814877,50.86211797315082,12.250346684997943,7.092363608957555,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,63.11246465814877,50.86211797315082,12.250346684997943,7.092363608957555,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1746748800,103240,104330.1,102264.1,102931.2,91033.1040000001,94633.91029491712,98541.70655267246,87154.724,0,-95,-99,72.90404605759171,60.99904326628715,11.905002791304561,7.519481516457455,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,72.90404605759171,60.99904326628715,11.905002791304561,7.519481516457455,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1746835200,102931.2,104986.7,102772,104782.3,91219.9680000001,95556.49117719739,99928.50509652303,47626.468,0,-95,-99,77.63498289634184,71.21716453736077,6.417818358981066,8.081046587388329,,,,,,76.84027302761186,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,77.63498289634184,71.21716453736077,6.417818358981066,8.081046587388329,,,,,,76.84027302761186,,,,,,,,60,100,-60,,,,,,,,,,
1746921600,104782.3,104936.7,103250,104080,91407.0725000001,96331.35561563399,100851.05951951792,63469.076,0,-95,-99,77.68865452395703,76.0758944926302,1.6127600313268289,6.559285946859088,,,,,,,,,,92.21595417015683,,,,60,100,-60,,,,,,,,,,,0,-95,-99,77.68865452395703,76.0758944926302,1.6127600313268289,6.559285946859088,,,,,,,,,,92.21595417015683,,,,60,100,-60,,,,,,,,,,
1747008000,104080,105842.1,100688,102746,91579.9465000001,96914.5051051218,101272.1574040695,124705.011,0,-95,-99,73.40599178099112,76.24320973376334,-2.837217952772221,7.3586279773208005,76.24320973376334,,76.24320973376334,,,,,,,,,,,60,100,-60,,,,,76.24320973376334,,105,,106,,0,-95,-99,73.40599178099112,76.24320973376334,-2.837217952772221,7.3586279773208005,76.24320973376334,,76.24320973376334,,,,,,,,,,,60,100,-60,,,,,76.24320973376334,,105,,106,
1747094400,102746,104949.9,101380,104070.6,91766.96550000011,97565.05918647436,101894.0335364985,83517.788,0,-95,-99,69.66771092127519,73.58745240874111,-3.9197414874659273,6.700203923573973,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,69.66771092127519,73.58745240874111,-3.9197414874659273,6.700203923573973,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1747180800,104070.6,104325.6,102550,103445,91948.84500000009,98099.59926043123,102238.69275060995,66471.825,0,-95,-99,65.46583730148134,69.51318000124922,-4.047342699767881,4.978019767843031,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,65.46583730148134,69.51318000124922,-4.047342699767881,4.978019767843031,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1747267200,103445,104203.9,101333,103710,92127.3895000001,98609.63569130113,102565.64991714107,99517.711,0,-95,-99,60.11027491762585,65.08127438012747,-4.9709994625016165,6.59863558882504,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,60.11027491762585,65.08127438012747,-4.9709994625016165,6.59863558882504,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1747353600,103710,104555,103042.2,103410.2,92294.70250000009,99046.05062845557,102753.32771333194,59383.409,0,-95,-99,57.15871223636622,60.91160815182448,-3.752895915458261,4.571063322830249,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,57.15871223636622,60.91160815182448,-3.752895915458261,4.571063322830249,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1747440000,103410.2,103669.4,102539.7,103081.2,92446.32100000011,99412.88238950507,102826.18822148039,36507.919,0,-95,-99,51.784599532424814,56.35119556213897,-4.566596029714155,4.953006070326285,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,51.784599532424814,56.35119556213897,-4.566596029714155,4.953006070326285,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
