time,open,high,low,close,EMA Direction (debug),Entry Arrow Long,Entry Arrow Short,Cancelled (Long side),Cancelled (Short side),EMA,Volume,Volume MA
1785355140,27341,27370.75,27317.5,27336.5,-1,0,0,0,0,27589.04818969716,11665,7421.95
1785355200,27336.25,27361.75,27282.75,27325.25,-1,0,0,0,0,,8406,7303.85
1785355260,27325.25,27361.25,27225.25,27229,-1,0,0,0,0,,9748,7337.9
1785355320,27231.5,27291,27222.75,27280.75,-1,0,0,0,0,,5855,7312.3
1785355380,27282.25,27298.75,27247.5,27262.5,-1,0,0,0,0,,3723,7015.15
1785355440,27261,27267.25,27200,27253,-1,0,0,0,0,,6240,6968.45
1785355500,27255,27322,27242,27302.25,-1,0,0,0,0,,6397,6917.2
1785355560,27302.5,27361.25,27284,27328.25,-1,0,0,0,0,,4628,6776.9
1785355620,27327.75,27339.25,27291.5,27302.5,-1,0,0,0,0,,3067,6568.75
1785355680,27303,27306,27262,27292.5,-1,0,0,0,0,,3297,6381.1
1785355740,27292.5,27304.25,27252.5,27256.75,-1,0,0,0,0,,2436,6180.15
1785355800,27256.5,27266.75,27233.25,27250.75,-1,0,0,0,0,,3306,5932.45
1785355860,27251.75,27283.5,27231.75,27271.75,-1,0,0,0,0,,3520,5840.55
1785355920,27272.25,27294.25,27245.5,27289.25,-1,0,0,0,0,,2881,5545.95
1785355980,27290.5,27332,27287.5,27300,-1,0,0,0,0,,4763,5523.05
1785356040,27300.25,27317.25,27289,27299.25,-1,0,0,0,0,27492.44879313144,2224,5311.15
1785356100,27300,27319.25,27274.75,27318.25,-1,0,0,0,0,,2296,4961.1
1785356160,27318.25,27339,27312.5,27318.5,-1,0,0,0,0,,2828,4842.1
1785356220,27319,27326.25,27298,27298,-1,0,0,0,0,,1841,4696.9
1785356280,27299.25,27301,27272.5,27283.75,-1,0,0,0,0,,2183,4565.2
1785356340,27282.25,27288.5,27265.5,27280.5,-1,0,0,0,0,,1477,4055.8
1785356400,27280,27300.25,27272.5,27279.75,-1,0,1,0,0,,1279,3699.45
1785356460,27279,27299.5,27273.25,27298.75,-1,0,0,0,0,,1065,3265.3
1785356520,27297.75,27307,27263.5,27266.5,-1,0,0,0,0,,1781,3061.6
1785356580,27266.5,27291.25,27261.75,27275.75,-1,0,0,0,0,,1349,2942.9
1785356640,27275.75,27279.75,27256,27265.75,-1,0,0,0,0,,1192,2690.5
1785356700,27266.25,27284.25,27261.25,27273.75,-1,0,0,0,0,,1003,2420.8
1785356760,27273.5,27274.75,27226,27228.5,-1,0,0,0,0,,2343,2306.55
1785356820,27228.25,27230.5,27208,27214.25,-1,0,0,0,0,,2228,2264.6
1785356880,27214.5,27234.25,27210.25,27234,-1,0,0,0,1,,1924,2195.95
