time,open,high,low,close,EMA,Volume,Volume MA,EMA Direction (debug),Order Sent Long,Order Sent Short,Cancelled (Long side),Cancelled (Short side)
1785456840,28457.25,28476.25,28456.75,28468,28422.310762316487,2809,1669.4,1,0,0,0,0
1785456900,28467.5,28478,28465.75,28473,,1657,1689.6,1,0,0,0,0
1785456960,28472,28472.75,28449.75,28456,,2498,1777.2,1,0,0,0,0
1785457020,28456.75,28461.25,28448.5,28451.5,,1002,1802.1,1,0,0,0,0
1785457080,28450.75,28463,28447,28460.5,,895,1793.9,1,0,0,0,0
1785457140,28460.25,28480.25,28459.75,28477.75,,1923,1836.05,1,0,0,0,0
1785457200,28478.25,28488.25,28472.5,28482.75,,1762,1808.4,1,0,0,0,0
1785457260,28481.25,28485,28457,28457.75,,1809,1812.1,1,0,0,0,0
1785457320,28456.75,28466,28453.25,28461.5,,1462,1797,1,0,0,0,0
1785457380,28462.5,28475.5,28460.5,28474,,1163,1714.4,1,0,0,0,0
1785457440,28475,28480.75,28465.25,28473.5,,1182,1693.05,1,0,0,0,0
1785457500,28473.25,28474,28465.5,28470.5,,733,1647,1,0,0,0,0
1785457560,28469.75,28476.75,28467.25,28469.5,,485,1519.45,1,0,0,0,0
1785457620,28469.25,28473.75,28463.75,28470,,782,1497,1,0,0,0,0
1785457680,28471,28476.25,28463.75,28471.75,,724,1426.2,1,0,0,0,0
1785457740,28471.75,28483,28465.75,28483,28442.54050821099,985,1397.85,1,0,0,0,0
1785457800,28481.75,28495.25,28480.5,28494.75,,1586,1408.5,1,0,0,0,0
1785457860,28495,28502.5,28489.75,28491.25,,2251,1439.15,1,0,0,0,0
1785457920,28491.75,28500.75,28488.75,28499.25,,867,1421.9,1,1,0,0,0
1785457980,28498.75,28508.25,28495,28507,,1442,1400.85,1,0,0,0,0
1785458040,28507,28510,28503,28505.5,,1029,1311.85,1,0,0,0,0
1785458100,28505.75,28508.75,28503.25,28507.5,,1007,1279.35,1,0,0,0,0
1785458160,28507.75,28507.75,28490.25,28495,,1552,1232.05,1,0,0,0,0
1785458220,28495.25,28502.5,28491.25,28497.25,,833,1223.6,1,0,0,0,0
1785458280,28496.25,28507.25,28493.5,28500.75,,995,1228.6,1,0,0,0,0
1785458340,28500.75,28503.5,28489.5,28494.75,,970,1180.95,1,0,0,0,0
1785458400,28494.75,28498,28483.75,28485.25,,1040,1144.85,1,0,0,0,0
1785458460,28485.25,28492.75,28482,28485.75,,999,1104.35,1,0,0,0,0
1785458520,28485.25,28497,28484,28490,,876,1075.05,1,0,0,0,0
1785458580,28490,28496.5,28483.5,28495,,761,1054.95,1,0,0,0,0
1785458640,28495.5,28499.5,28489.25,28499,28461.360338807328,656,1028.65,1,0,0,0,0
1785458700,28499.25,28502.25,28492.25,28493.5,,717,1027.85,1,0,0,0,0
1785458760,28492.75,28492.75,28470.5,28475.25,,2056,1106.4,1,0,0,0,0
1785458820,28476,28482.25,28470,28480.75,,1205,1127.55,1,0,0,0,0
1785458880,28480.75,28484.5,28473.75,28483.75,,750,1128.85,1,0,0,0,0
1785458940,28483.5,28484.5,28468.5,28473,,828,1121,1,0,0,0,0
1785459000,28472.75,28485,28471.75,28481,,835,1083.45,1,0,0,0,0
1785459060,28481.25,28488,28477,28482.5,,721,1006.95,1,0,0,0,0
