time,open,high,low,close,EMA Direction (debug),HTF EMA Value (debug),SCRIPT VERSION: EXPERIMENTAL (dollar_tp/sl),Order Sent Long,Order Sent Short,Volume,Volume MA
1785780000,28917.5,28930,28917.25,28924.5,1,28879.184343137473,1,0,0,4536,2092.55
1785780060,28924.5,28933.25,28923.25,28925.25,1,28879.184343137473,1,0,0,3334,2196.35
1785780120,28925,28934.5,28925,28932,1,28879.184343137473,1,0,0,2977,2262.15
1785780180,28931.75,28937,28929.5,28936.25,1,28879.184343137473,1,0,0,3044,2341.15
1785780240,28936.25,28948,28935.5,28945.75,1,28879.184343137473,1,0,0,5349,2553.35
1785780300,28945.5,28958.5,28945.5,28954.25,1,28879.184343137473,1,0,0,5823,2716.25
1785780360,28954.5,28957.5,28948.5,28954.25,1,28879.184343137473,1,0,0,3239,2815.2
1785780420,28954.25,28957,28947.25,28948.5,1,28879.184343137473,1,0,0,2761,2839.8
1785780480,28948.75,28955.75,28939.75,28955.25,1,28879.184343137473,1,0,0,3778,2941.05
1785780540,28955.5,28958,28952.75,28953.75,1,28879.184343137473,1,0,0,2464,3000.45
1785780600,28954.5,28965,28952.5,28961.75,1,28879.184343137473,1,0,0,3982,3108.95
1785780660,28961.75,28961.75,28943.25,28944.5,1,28879.184343137473,1,0,0,3899,3253.55
1785780720,28944,28949.5,28934.25,28944.75,1,28879.184343137473,1,0,0,4923,3450
1785780780,28944.5,28949.75,28937.25,28941.25,1,28879.184343137473,1,0,0,2951,3514.45
1785780840,28941.5,28944.75,28939,28940.25,1,28879.184343137473,1,0,0,1585,3524.75
1785780900,28940.5,28954.5,28940.25,28950.25,1,28899.53956209165,1,0,0,3310,3405
1785780960,28950.25,28955,28949.5,28954,1,28899.53956209165,1,0,0,1869,3337.3
1785781020,28954,28959.5,28944.25,28944.75,1,28899.53956209165,1,0,0,2413,3327.3
1785781080,28945.25,28947,28931.5,28935.75,1,28899.53956209165,1,0,0,3386,3361.5
1785781140,28935.5,28935.75,28925.5,28928.25,1,28899.53956209165,1,0,0,2996,3430.95
1785781200,28928.25,28931.25,28919,28926.75,1,28899.53956209165,1,1,0,3845,3396.4
1785781260,28926.75,28934,28920.25,28927.25,1,28899.53956209165,1,0,0,3215,3390.45
1785781320,28927,28934.5,28924,28932.5,1,28899.53956209165,1,0,0,2165,3349.85
1785781380,28932.5,28934.75,28928.75,28934,1,28899.53956209165,1,0,0,1374,3266.35
1785781440,28934,28934,28919.5,28921.25,1,28899.53956209165,1,0,0,2141,3105.95
1785781500,28920.75,28927.25,28913.5,28917.5,1,28899.53956209165,1,0,0,3049,2967.25
1785781560,28917.5,28918,28908.75,28910,1,28899.53956209165,1,0,0,2583,2934.45
1785781620,28909.75,28909.75,28896.5,28903,1,28899.53956209165,1,0,0,4948,3043.8
1785781680,28902.75,28904.25,28891.5,28893.75,-1,28899.53956209165,1,0,0,3845,3047.15
1785781740,28893.5,28899.25,28890.25,28892.75,-1,28899.53956209165,1,0,0,2480,3047.95
1785781800,28891.75,28907,28889.75,28891.25,-1,28897.276374727768,1,0,0,5016,3099.65
1785781860,28891.5,28898,28886,28896.75,-1,28897.276374727768,1,0,0,3154,3062.4
1785781920,28896.75,28901,28893.75,28899.75,1,28897.276374727768,1,0,0,2131,2922.8
1785781980,28899.75,28903.25,28887.25,28890.25,-1,28897.276374727768,1,0,0,3006,2925.55
