time,open,high,low,close,EMA,Volume,Volume MA,EMA Direction (debug),Order Sent Long,Order Sent Short,Cancelled (Long side),Cancelled (Short side)
1785409380,27646.25,27657.5,27638.75,27654.5,,1252,880.25,1,0,0,0,0
1785409440,27655,27660.5,27650.5,27658.25,,1141,896.75,1,0,0,0,0
1785409500,27658,27668.5,27655.25,27663.75,,1115,912.7,1,0,0,0,0
1785409560,27663.25,27679.25,27659.5,27678,,1304,949.65,1,0,0,0,0
1785409620,27677.75,27684.25,27675.5,27676.75,,1265,983.85,1,0,0,0,0
1785409680,27676.75,27680.25,27668.75,27674.25,,900,994.4,1,0,0,0,0
1785409740,27673.75,27683.5,27673,27679,,572,973,1,0,0,0,0
1785409800,27678.5,27686.5,27670,27670.75,,949,965.65,1,1,0,0,0
1785409860,27670.75,27671.25,27663.5,27670,,941,984.95,1,0,0,0,0
1785409920,27670,27681.5,27668,27674.75,,847,990.8,1,0,0,0,0
1785409980,27674.5,27674.5,27655.25,27661,,818,980.65,1,0,0,0,0
1785410040,27660,27666.75,27659.25,27665.75,27618.29061650923,436,951.5,1,0,0,0,0
1785410100,27665.75,27673.25,27661,27671.25,,750,950.55,1,0,0,0,0
1785410160,27671.25,27688.5,27668,27684.25,,861,954.4,1,0,0,0,0
1785410220,27685,27693.75,27682,27689.75,,1216,991.5,1,0,0,0,0
1785410280,27689.75,27702,27688.25,27689.25,,1524,1053.4,1,0,0,0,0
1785410340,27689.25,27693.25,27680.25,27682,,897,1082.4,1,0,0,0,0
1785410400,27682.25,27687.25,27676.25,27679.75,,729,1010.2,1,0,0,0,0
1785410460,27680,27682.75,27674.5,27678.5,,613,992.6,1,0,0,0,0
1785410520,27678.75,27682,27670.25,27680,,612,937.1,1,0,0,0,0
1785410580,27680,27684.5,27675.75,27681.75,,764,912.7,1,0,0,0,0
1785410640,27682.25,27705,27679.75,27701.5,,1351,923.2,1,0,0,0,0
1785410700,27701,27709,27697.75,27707.25,,1149,924.9,1,0,0,0,0
1785410760,27707.25,27712,27705.25,27709.5,,911,905.25,1,0,0,0,0
1785410820,27709,27713.75,27704,27709.5,,965,890.25,1,0,0,0,0
1785410880,27709,27723.75,27707.5,27709.75,,1451,917.8,1,0,0,0,0
1785410940,27709.5,27715.25,27706.5,27714.5,27650.360411006153,666,922.5,1,0,0,0,0
1785411000,27715.25,27717,27707,27709,,807,915.4,1,0,0,0,0
